stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,6.29,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,1.64,4.93,0,0,0,0,0.82,0,0,1.64,0,0
 36-46,0,1.61,0,0.81,0,0,0,0,0,0,0,1.61,0,0,0.81,7.25,0,0,0,0,0,0,0,2.42,0,0
 48-58,0,10.33,0,20.08,0.57,0,0.57,0,0,0,0,1.72,0,0,0,6.89,0,0,0,0,0,0,0,0,0,0
 60-70,0,15.7,0,59.87,1.96,0,0,0,0,0,0,6.87,0,0.98,0,7.85,0,0,0.98,0,3.93,0.98,0,0.98,0,0
 72-82,0,16.69,0,103.07,1.96,0.98,1.96,0,0,0.98,0,5.89,0,0,0.98,7.85,0,0.98,0,0,15.71,0,0,0,0,0
 84-94,0,50.98,0,50.98,10.62,0,3.19,0,1.06,1.06,0,5.31,0,0,0,11.68,0,1.06,0,0,72.22,0,0,0,0,1.06
 96-106,0,93.98,0,26.23,13.11,0,3.28,0,0,0,0,9.84,2.19,0,1.09,5.46,0,0,0,0,65.57,0,0,0,0,0
108-118,0,84.26,0.77,22.98,13.79,0,3.06,0.77,0,0,0.77,2.3,0,0,0,6.13,0.77,0,0,0,35.23,0,0,0,0.77,0
120,0,143.06,0,19.6,11.76,0,0,1.96,0,0,0,0,7.84,1.96,0,11.76,0,0,0,0,58.79,0,0,0,0,0
