stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,14,4,1,1,2,0,8,0,1,7,5,0,0,0,0
 24-34,0,0,0.82,4.93,0.82,0,0,0,32.83,0,0,0,0,0.82,0,0,1.64,29.55,0,0.82,0,0,1.64,0,0,0,0,9.03,0,0,4.1,0
 36-46,0,0,0,0,8.06,0,1.61,0,22.56,0,0,0,0,1.61,0,0,0,39.48,0,0.81,0,0,4.03,0,0.81,0,0,7.25,0,0,2.42,0
 48-58,0,0,0,0,5.74,0,3.44,0,29.84,0,0,0,0.57,4.02,0,0,0,26.97,0.57,1.15,0,0,1.72,0,0,0,0,4.02,0,0,4.59,0.57
 60-70,0,0,0,0,5.89,0,1.96,0,26.5,0,0,0,0,2.94,0,0.98,0.98,19.63,0,0,0,0,4.91,0,0,0,0,2.94,0,0,6.87,0
 72-82,0,0,0,0,10.8,0.98,5.89,0,72.64,0,0.98,0,0,8.83,0.98,0,0,36.32,0,0,0,0,3.93,0,0,0,0,0.98,0,0.98,11.78,0
 84-94,0,0,2.12,1.06,12.74,0,1.06,0,96.65,1.06,0,1.06,1.06,2.12,0,0,0,9.56,1.06,0,0,0,3.19,0,0,0,0,1.06,1.06,1.06,11.68,0
 96-106,0,0,1.09,0,7.65,1.09,2.19,0,124.58,1.09,1.09,2.19,0,3.28,0,0,0,10.93,0,2.19,1.09,0,8.74,0,0,0,0,1.09,0,0,14.21,0
108-118,0,0,3.06,0,4.6,0,2.3,0,108.77,0.77,0,0,0,2.3,0.77,0,0.77,6.89,0,1.53,0,0,6.13,0,0,0,0,1.53,0,0,9.96,0
120,0,0,0,0,9.8,0,3.92,0,105.83,0,0,0,0,3.92,0,1.96,0,13.72,0,0,0,0,1.96,0,0,0,0,0,0,0,17.64,0
