stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,239.06,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,168.24,7.89,0,0,39.43,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,122.73,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,2,1,0,0,1,0,0,0,0,0,0,5,0,0,1,29,0,0,0,2,2,1,0,1,10,0,0,0,0,0
 24-34,0,0,0.82,1.64,0,13.95,0,0,1.64,0,0,0,0,0,0,8.21,0,0,0.82,40.22,0,0.82,0,0,0.82,0,0,0,16.42,0,0,0,0,0
 36-46,0,0,0,1.61,0,14.5,0,0,0,0,0,0,0,0,0,8.86,0,0,0.81,20.14,0,0,0.81,0,0,0,0,0,4.83,0,0,1.61,0,0
 48-58,0,0,0,1.15,0,16.07,0,0,0,0,0,0.57,0.57,0,0,6.31,0,0.57,1.72,18.36,0,0,0,0,0.57,0,0,0,1.72,0,0,0,0,0
 60-70,0,0,0,0.98,0,51.04,0.98,0,0.98,0,0,0,0,0,0,7.85,0,0,0,19.63,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,1.96,0,137.43,0,0.98,1.96,0.98,0,0,0,0,0,8.83,0,0,0.98,18.65,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,0,0,100.89,0,0,2.12,0,0,1.06,0,0,0,6.37,0,1.06,0,7.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,116.93,1.09,0,3.28,0,0,0,0,0,0,3.28,1.09,0,1.09,9.84,0,0,1.09,0,1.09,0,1.09,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,1.53,87.32,0,0,0,0,0,0,0,0.77,0.77,3.83,0,0,0.77,10.72,0,0,0,0,0,0,0,0,0.77,0.77,0.77,0.77,0,0
120,0,0,0,7.84,0,99.95,0,1.96,0,0,0,0,3.92,0,1.96,3.92,0,0,1.96,13.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
