stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,3.15,0,0,3.15,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,762,0,0,19,0,1,0,0,2,0,0,0,5,2,1,9,1,0,1,0,4,3,0,0,3,7,0,0,0,0
 24-34,0,142.01,0,1.64,91.12,0,0.82,0,0,0,0,0,0.82,0,4.93,0,11.49,0.82,0,0,0,67.31,0,0,0,0.82,2.46,0,1.64,0,0
 36-46,0,14.5,0,0.81,62.84,0,2.42,0,0.81,0,0.81,0,0,1.61,4.03,0.81,14.5,0,0,0,0,108.77,0,0.81,0,0,4.83,0,0,0,0
 48-58,0,7.46,0,2.3,98.69,0,2.3,0.57,0.57,1.72,0,0,0,1.72,6.31,0,14.35,0,0,0,0,101.56,0,0,0.57,0,2.87,0.57,0.57,0,0
 60-70,0,2.94,0,2.94,100.12,0.98,2.94,0,0,0,0,0,0,2.94,3.93,0,7.85,0,0.98,0,0,159.99,0,0.98,0,0,0,0,0,0,0
 72-82,0,10.8,0,2.94,106.02,0.98,0,0,0,0,0,0,0,2.94,5.89,0,9.82,0,1.96,0,0,136.45,0,0,0,0,0.98,0,0.98,0,0
 84-94,0,19.12,0,1.06,221.97,0,0,1.06,0,0,0,0,0,2.12,6.37,0,13.81,0,0,0,0,333.48,0,0,0,0,0,0,0,0,1.06
 96-106,0,36.06,1.09,6.56,215.29,1.09,2.19,0,0,2.19,1.09,0,0,4.37,3.28,1.09,6.56,0,0,0,0,165.02,0,0,0,0,0,1.09,0,1.09,0
108-118,0,16.85,0,0,222.13,2.3,1.53,0,0,0.77,0,0,0,3.06,3.83,0,7.66,0,0,0,0,85.79,0,0,0,0,0,0,0,0,0
120,0,25.48,0,0,201.86,0,1.96,0,0,0,0,1.96,0,0,1.96,0,3.92,0,0,0,0,54.87,0,0,0,0,0,1.96,0,0,0
