stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,2.63,0,0,7.89,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,78.86,5.26,0,0,36.8,2.63,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,1,1,12,3,5,13,0,0
 24-34,0,0,0.82,0.82,0,3.28,0,0.82,1.64,0,0,0,0,0,0.82,0,0,0,0,0,0,16.42,0,2.46,0,0,0,0,0,2.46,7.39,0.82,0
 36-46,0,0,0,1.61,0,1.61,0,0,0.81,0,0,0,0,0,0,0.81,0.81,1.61,0,0,0.81,15.31,0.81,1.61,0.81,0,3.22,0,0.81,0,0.81,0,0
 48-58,0,0,0,0,0,3.44,0.57,0.57,0,0,0,0.57,0.57,0,0,0,0,1.72,0,0,0.57,9.18,0,1.15,0,0,0,0,0,0,2.87,0.57,0
 60-70,0,0,0,0.98,0,7.85,0.98,0,0.98,0.98,0,0,0,0.98,0,0,0,0,0,0,0,12.76,0.98,1.96,0.98,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,5.89,0,0,0,0.98,0,0,0,0,0.98,0,0,0.98,0.98,0,0,10.8,0,0.98,0.98,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,2.12,0,3.19,0,0,2.12,1.06,0,0,0,0,0,0,0,1.06,0,0,1.06,5.31,0,2.12,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,5.46,0,0,0,1.09,0,0,0,0,0,0,0,2.19,0,1.09,0,5.46,0,1.09,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,3.06,0,0.77,0,0,0,0,0,0,0,1.53,0,1.53,0,0,0.77,8.43,0,0,0,0,0.77,0,0,0,1.53,0,0
120,0,0,0,0,3.92,3.92,0,0,3.92,0,0,0,1.96,0,1.96,0,0,3.92,0,0,1.96,7.84,0,1.96,0,0,0,0,0,0,1.96,1.96,0
