stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,3,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,2,34,0,0,0,1,0,1,6,2,2,6,12,0,1,0,0
 24-34,0,0,0.82,0,2.46,0.82,2.46,0,0,0,0,0,0.82,1.64,2.46,0,0,0,0,4.1,0,1.64,42.68,0,1.64,0.82,0,0,9.85,0,1.64,0.82,1.64,7.39,0,1.64,0,1.64
 36-46,0,0,0,0,1.61,0,4.83,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0.81,0,0,14.5,0,0,0,0,0,1.61,0,0,0,0,8.06,0,0,0,0.81
 48-58,0,0,0,0,1.15,0,4.02,0.57,0.57,0.57,1.15,0,0,0,0,0,0,0,0,1.15,0.57,0.57,11.48,0,0.57,0.57,0,0,1.15,0,0,0,0,2.87,0,0.57,0,0
 60-70,0,0,0,0,0,0,16.69,0,0,0,0.98,0,0,0,0,0.98,0,0,0,1.96,0,0,11.78,0,0.98,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0,3.93,0,20.61,0,0,0,4.91,0.98,0,0,0,0,0,0.98,0.98,7.85,0,0.98,17.67,0,2.94,1.96,0,0.98,0.98,0,0,0,0,0.98,0.98,0,0.98,0
 84-94,0,0,1.06,0,3.19,2.12,11.68,0,0,0,1.06,0,0,0,0,0,0,0,0,5.31,0,1.06,9.56,0,0,0,0,0,5.31,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,4.37,0,12.02,0,0,1.09,0,1.09,0,2.19,0,0,0,0,0,2.19,1.09,0,3.28,0,0,0,0,0,2.19,0,0,0,0,1.09,1.09,1.09,0,1.09
108-118,0,0,0,0,2.3,0.77,4.6,0,0,0,0,0.77,0,0,2.3,0,0.77,0,0,1.53,0,0,8.43,0.77,0,1.53,0,0,1.53,0,0,0.77,0,0,0,0.77,0,0
120,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,1.96,9.8,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0
