stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,81,1,0,0,0,0,0
 24-34,0,0,1.64,0,0,4.1,0.82,0,0,0.82,0,6.57,0,0,0,0.82,0,0.82,3.28,0,0,4.93,35.3,0,0.82,2.46,0,0,6.57,0,0,143.65,3.28,11.49,0,1.64,0,0
 36-46,0,0,1.61,0,0,8.86,0,0,1.61,2.42,0,6.45,0,0.81,0,0,0,0,5.64,0,0,4.83,52.37,0,0,0.81,0.81,0,4.83,0,0,180.47,0,11.28,0,1.61,0,0
 48-58,0,0,1.72,0,0,32.13,3.44,0.57,0.57,6.31,0,4.59,0,1.15,0.57,0,0.57,0.57,19.51,0.57,1.15,5.74,92.96,1.72,1.15,1.72,0,0,0,0,0,170.99,0,28.12,0,1.15,0,3.44
 60-70,0,0.98,1.96,1.96,0,23.56,11.78,0,1.96,1.96,0,5.89,0,0,0,3.93,0.98,0,25.52,0,0,3.93,67.73,0.98,0,0.98,0.98,0,4.91,0,0,110.91,0,5.89,0,0,0,0.98
 72-82,0,0,0.98,6.87,0,40.25,12.76,0.98,1.96,7.85,0,1.96,0,0,4.91,1.96,0,0,35.34,1.96,1.96,9.82,71.66,0,0,12.76,0.98,0,3.93,0,0,66.75,0,5.89,1.96,1.96,1.96,2.94
 84-94,0,0,6.37,6.37,0,31.86,22.3,3.19,0,6.37,2.12,4.25,1.06,2.12,3.19,2.12,2.12,1.06,20.18,0,1.06,7.43,57.35,0,1.06,12.74,0,0,8.5,0,0,121.07,0,2.12,1.06,3.19,1.06,0
 96-106,0,1.09,10.93,17.49,2.19,56.83,24.04,2.19,2.19,19.67,5.46,13.11,2.19,1.09,1.09,5.46,7.65,1.09,44.81,0,1.09,12.02,76.5,1.09,0,7.65,0,1.09,28.41,0,0,133.33,0,1.09,2.19,4.37,4.37,1.09
108-118,0,0,6.13,1.53,1.53,21.45,28.34,1.53,0.77,9.19,0,8.43,2.3,0.77,2.3,0.77,3.06,1.53,10.72,0.77,0,9.19,42.13,0.77,1.53,10.72,0,1.53,4.6,0,0,113.36,0,2.3,1.53,2.3,0,2.3
120,0,1.96,11.76,1.96,0,15.68,13.72,1.96,1.96,5.88,0,5.88,1.96,0,0,1.96,0,0,5.88,0,0,9.8,25.48,0,0,7.84,0,0,3.92,0,1.96,43.12,0,0,0,0,3.92,0
