stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,487.58,6444.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.91,0,0,0,0,0,0,0
  5-6,888.8,9770.64,36.78,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,239.06,24.52,0,0,85.81,257.44,0,0,0,0,0,0,0
  7-9,131.44,212.93,420.59,0,5.26,0,841.19,0,0,0,0,0,370.65,0,0,0,0,0,0,0,0,0,7397.2,184.01,0,0,2807.47,26.29,31.54,0,0,0,0,0,0
 10-12,0,188.82,239.17,0,40.91,0,446.87,0,0,0,0,0,91.26,0,0,0,0,0,0,0,0,0,4632.34,91.26,0,0,1863.01,9.44,15.73,9.44,151.05,9.44,6.29,0,0
 14-21,0,0,3,6,1,0,6,0,0,0,4,1,0,0,0,0,0,0,3,1,0,4,90,1,0,0,1,1,0,8,0,1,34,1,1
 24-34,0,0,0.82,4.93,0,0,36.12,0,0,0,1.64,0,0,0.82,0,0.82,0,0,18.88,0,0,5.75,264.32,0,1.64,1.64,0,3.28,0,0,0,0.82,57.46,3.28,0
 36-46,0,0,0,1.61,0,0,88.62,0,0,0,4.03,0,0,0,0,0,0.81,0,18.53,0,0,4.83,167.58,0.81,0,0,0,1.61,0,0,0,0,43.51,0,0.81
 48-58,0,0,0,1.72,1.15,0,107.88,0,0.57,0.57,4.59,0.57,0,0,0,0,0,0.57,23.53,0,1.15,2.87,83.2,0.57,0,0.57,0,0.57,0,0,0,0,14.92,0,0
 60-70,0,0,0,4.91,0.98,0,85.39,0,0,0,8.83,0,0,0,0,0,0,0,14.72,0,0,3.93,50.06,0,0,0,0,0,0,0,0,0,4.91,0,0
 72-82,0,0,0,0,0,0,29.45,0.98,0,0,3.93,0.98,0,0,0.98,0,0,0,8.83,0,0.98,0.98,15.71,0,1.96,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,3.19,0,1.06,21.24,0,0,2.12,4.25,0,0,0,0,0,0,0,6.37,0,2.12,1.06,18.05,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,10.93,0,0,0,4.37,0,0,0,1.09,0,0,0,5.46,0,0,0,20.76,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.3,0.77,0,10.72,0,0,0,3.06,0,0,0,0,0.77,0.77,0,3.06,0,0,0,12.26,0,0.77,1.53,0,0,0,0,0,0,0.77,0.77,0
120,0,0,0,0,1.96,0,11.76,0,0,0,1.96,0,0,0,1.96,0,0,0,3.92,0,0,0,23.52,0,0,0,0,0,0,0,0,0,0,0,0
