stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,1120.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,10.51,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.35,2.63,0,0,26.29,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.67,9.44,0,0,62.94,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,17,2,0,10,0,1,0,1,3,0,0,0,0,0,0,1,9,0,0,5,122,3,0,3,0,0,1,0,16,2,2,11,48,0,0,1,0,0
 24-34,0,0,0,2.46,15.6,0,0,32.83,0,0.82,0.82,6.57,0.82,0.82,0,0,0,0,3.28,0,32.83,0,0,10.67,371.03,2.46,8.21,4.1,0,0,8.21,0,0,1.64,0,6.57,89.47,0,0,8.21,0,0.82
 36-46,0,0,0,0,8.06,0,0,73.32,0.81,0,1.61,25.78,0,0.81,0.81,0,0.81,0.81,1.61,0.81,41.89,0,0,19.34,633.26,2.42,9.67,4.83,0,0,11.28,0,0,1.61,0,0.81,149.85,0,0,5.64,0,1.61
 48-58,0,0,0,0,6.31,1.15,0,111.32,1.72,1.15,2.87,23.53,0,1.72,0,1.15,0.57,1.72,0,0,37.3,0,1.15,8.03,444.7,0.57,8.61,2.87,0,0.57,4.59,0.57,0,0.57,2.87,0,112.47,0,0,1.72,0,1.15
 60-70,0,0,0.98,0,10.8,0,0,186.49,0.98,1.96,2.94,51.04,1.96,1.96,2.94,0,0.98,1.96,1.96,2.94,75.58,0,2.94,8.83,602.65,0.98,6.87,1.96,0,0,13.74,0,0,1.96,1.96,0,122.69,0.98,0,2.94,0,2.94
 72-82,0,0,3.93,0,4.91,7.85,0,173.75,1.96,0.98,4.91,76.57,1.96,2.94,3.93,0.98,3.93,4.91,0,0.98,91.29,0,0.98,7.85,427.02,0.98,4.91,1.96,0,0,4.91,0,0,1.96,0,0,58.9,0.98,5.89,10.8,0.98,4.91
 84-94,0,0,3.19,1.06,19.12,9.56,0,100.89,0,3.19,4.25,33.99,6.37,1.06,6.37,3.19,4.25,1.06,2.12,4.25,47.79,1.06,4.25,7.43,231.52,1.06,7.43,5.31,0,0,39.3,0,0,1.06,3.19,0,39.3,0,2.12,6.37,4.25,5.31
 96-106,0,0,1.09,0,27.32,13.11,0,106.01,2.19,4.37,4.37,43.71,4.37,1.09,6.56,1.09,3.28,4.37,4.37,2.19,73.22,1.09,2.19,5.46,234.96,1.09,9.84,9.84,0,2.19,17.49,0,0,0,0,0,6.56,2.19,2.19,9.84,5.46,3.28
108-118,0,0,0.77,0,29.11,2.3,0.77,81.96,0.77,6.13,3.83,49.02,5.36,0.77,12.26,3.06,4.6,3.06,2.3,0.77,75.06,0,3.83,12.26,271.15,1.53,7.66,9.96,0,0.77,18.38,0,0,1.53,4.6,0,9.96,3.06,0.77,8.43,0.77,6.13
120,0,0,3.92,0,23.52,1.96,0,64.67,3.92,3.92,0,41.16,3.92,3.92,11.76,0,1.96,3.92,1.96,0,62.71,1.96,0,13.72,243.01,1.96,5.88,9.8,0,0,17.64,0,0,0,5.88,0,17.64,5.88,1.96,1.96,3.92,3.92
