stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,olfactory,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,22.03,0,0,0,0,0,0
 14-21,0,0,1,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,17,0,0,6,0
 24-34,0,0.82,0.82,2.46,0.82,0,0,0,0.82,0.82,0,0.82,0,1.64,6.57,0,0,0.82,0,0,5.75,1.64,0,0,24.63,0
 36-46,0,0,0,0.81,0,0,0,0.81,0,0,0.81,0,0,0,4.83,0.81,0,0,0,0,4.83,0,0.81,0,16.92,0
 48-58,0,1.15,0,0,0.57,2.87,0,0,1.72,0,0,0,0,1.72,2.87,0,0,0.57,0,0,2.3,0,1.72,0,16.07,0
 60-70,0,0,0,0,0.98,15.7,0.98,1.96,0,0,0,1.96,0.98,4.91,2.94,0.98,0,0,0,0,1.96,0,0,0,8.83,1.96
 72-82,0,0,0,0,7.85,13.74,0.98,0.98,0,0,0,1.96,0,3.93,1.96,0.98,0,0.98,0,0,0,0,0,0,18.65,9.82
 84-94,0,0,0,0,6.37,10.62,2.12,1.06,0,0,0,1.06,0,5.31,0,1.06,1.06,0,0,0,1.06,0,2.12,1.06,16.99,3.19
 96-106,0,0,0,1.09,4.37,9.84,0,1.09,1.09,0,0,0,1.09,2.19,1.09,2.19,1.09,0,0,0,2.19,0,1.09,1.09,10.93,9.84
108-118,0,0,0,0,4.6,7.66,0,0.77,0,0,0,0.77,0,1.53,1.53,0,1.53,0,0,0,1.53,0,0,0,9.19,3.83
120,0,0,1.96,0,7.84,11.76,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,13.72,0
