stage,axial,blastomeres,epidermis,eye,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,visceral_smooth_muscle
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,7.89,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,9.44,3.15,0,3.15,0,3.15,0,0,0
 24-34,0,0,0,0,0,0,0,0,4.93,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,4.83,0,0,0,0.81,0,0.81,0,0
 48-58,0,0,0,3.44,0.57,0,0,0.57,3.44,0,0,0,0,0,0,0,0
 60-70,0,0,0,2.94,0,0,0,0,2.94,0,0,0,0,0,0,0,0
 72-82,0,0,0,4.91,0.98,0,0,0,0.98,0,1.96,0,0,0,0,0,0.98
 84-94,0,0,0,2.12,0,1.06,0,0,2.12,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,1.09,3.28,0,1.09,0,0,1.09,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,2.3,0,0,0,1.53,0,0,0,0.77,0,0,0,0
120,0,0,0,3.92,0,1.96,1.96,0,3.92,0,0,0,0,0,0,0,0
