stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,830.21,18818.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540.3,0,0,0,0,0,0,0,0,0
  5-6,937.83,24242.71,30.65,0,0,0,0,0,0,0,0,91.94,0,0,0,0,0,0,0,0,0,753.95,0,0,0,190.02,0,306.48,0,0,0,0,0,0,0,0,0
  7-9,81.49,452.14,888.51,0,7.89,1566.71,0,0,0,0,0,420.59,0,0,0,0,0,0,0,0,0,13842.8,52.57,0,0,3362.12,0,36.8,0,0,0,0,0,0,0,0,0
 10-12,0,125.88,182.52,0,18.88,714.36,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,3748.04,9.44,0,0,409.11,0,15.73,0,69.23,0,3.15,0,0,0,0,0
 14-21,0,0,0,15,2,3,0,0,0,1,0,0,0,0,0,0,0,1,10,0,8,33,0,0,0,5,0,3,7,0,1,7,14,0,0,0,1
 24-34,0,0,0,1.64,0,3.28,0,0,0,3.28,0,0,0,0,0,0,0,0.82,18.06,0,9.03,86.19,0,2.46,0.82,0,0,0,0,0,0,4.1,29.55,0,0.82,0,1.64
 36-46,0,0,0,1.61,0,12.89,0,0,0,3.22,0,0,0,0,0,2.42,0,9.67,17.72,0,8.06,120.04,0.81,1.61,0,0,0,0,0,0,0,0.81,33.84,0,0,0,4.83
 48-58,0,0,0,0.57,0,16.64,0,0,0,2.3,0,0,0,0.57,0.57,3.44,0.57,12.05,28.69,0.57,5.16,98.69,0,0,0,0,0,0.57,0,0,0.57,0,24.67,0,1.15,0,10.33
 60-70,0,0,0,0.98,0,19.63,0.98,0,0.98,4.91,0,0,0,0,0.98,10.8,0,8.83,18.65,0,3.93,115.82,0,0.98,0,0,0,0.98,0,0,0,0,22.58,0.98,0,0.98,8.83
 72-82,0,0,0,0.98,0,28.47,0,0,0,10.8,0,0,0,0,0,12.76,0,7.85,36.32,0.98,1.96,116.82,0,1.96,0.98,0,0,0.98,0,0,0,0,16.69,1.96,0.98,0.98,4.91
 84-94,0,0,0,3.19,0,21.24,0,0,1.06,12.74,0,0,0,0,1.06,12.74,0,9.56,23.36,2.12,5.31,69.03,0,0,2.12,0,1.06,1.06,0,0,1.06,0,8.5,1.06,2.12,0,7.43
 96-106,0,0,0,2.19,0,17.49,0,1.09,0,30.6,2.19,0,1.09,1.09,0,6.56,1.09,15.3,28.41,0,6.56,53.55,0,1.09,1.09,0,0,1.09,0,0,0,0,1.09,0,2.19,1.09,7.65
108-118,0,0,0,3.83,0,12.26,0,0,3.83,13.02,0.77,0,0,0,0,13.02,0.77,19.92,20.68,0.77,1.53,60.51,0,0,1.53,0,0.77,0,0,0,0,0,0.77,0,1.53,1.53,8.43
120,0,0,0,7.84,0,17.64,0,0,0,19.6,0,0,0,0,0,7.84,0,3.92,19.6,0,9.8,86.23,1.96,3.92,3.92,0,1.96,1.96,0,0,0,0,7.84,0,0,0,1.96
