stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,10,79,14,0,29,0,0,0,10,7,0,5,0,1,0,0,0,1,53,0,0,32,647,24,0,3,7,0,7,0,61,10,4,102,161,0,0,6,0,1
 24-34,0.82,5.75,57.46,0.82,0,87.83,0.82,2.46,3.28,20.52,2.46,0,6.57,0,0,0,2.46,2.46,2.46,169.92,0.82,0,85.37,1333.89,11.49,1.64,13.13,0,0,24.63,0,0,13.13,2.46,22.16,352.97,0,0,25.45,0,1.64
 36-46,0,0,24.17,1.61,0,121.66,1.61,2.42,6.45,84.6,2.42,0,4.03,0,1.61,0,3.22,0,0.81,230.42,0.81,1.61,67.68,808.09,11.28,3.22,9.67,0,0.81,20.14,0.81,0,2.42,2.42,0.81,250.56,0,0,21.75,0,0
 48-58,0,0,20.08,0,0,124.52,5.74,5.16,8.61,149.76,1.72,0.57,2.3,1.15,0,1.72,3.44,1.15,1.72,312.72,0,8.61,51.07,316.17,5.16,1.72,6.31,0,2.87,10.33,0,0,0,3.44,0,172.72,0,1.72,14.35,0,2.87
 60-70,0,0,18.65,0,0,67.73,4.91,4.91,12.76,165.88,1.96,0,4.91,1.96,0.98,0.98,0.98,2.94,0.98,390.65,0,14.72,34.35,119.75,4.91,0,10.8,0,0,14.72,0,0,1.96,4.91,0,57.91,0,8.83,19.63,1.96,1.96
 72-82,0,0,35.34,4.91,0,51.05,1.96,10.8,14.72,163.94,2.94,0,5.89,2.94,0.98,1.96,2.94,0.98,0.98,549.73,2.94,11.78,44.17,118.78,1.96,0.98,11.78,0,2.94,21.6,0,0,0.98,1.96,0,25.52,2.94,9.82,41.23,12.76,1.96
 84-94,1.06,1.06,47.79,7.43,0,72.22,2.12,13.81,11.68,94.52,18.05,0,3.19,5.31,4.25,2.12,3.19,3.19,1.06,336.67,0,15.93,28.68,79.65,3.19,4.25,13.81,0,4.25,32.92,0,0,3.19,0,0,18.05,2.12,5.31,38.23,10.62,4.25
 96-106,2.19,0,57.92,5.46,0,55.74,3.28,10.93,12.02,95.08,10.93,0,7.65,4.37,3.28,6.56,5.46,7.65,0,366.1,4.37,14.21,24.04,92.89,3.28,9.84,13.11,0,4.37,32.79,0,0,3.28,2.19,0,6.56,2.19,14.21,34.97,17.49,2.19
108-118,0.77,0.77,79.66,3.83,1.53,62.04,5.36,26.04,12.26,68.17,20.68,0,1.53,3.83,6.13,6.89,2.3,20.68,2.3,285.7,1.53,16.09,29.87,88.09,5.36,3.83,15.32,0,3.83,31.4,0,0,3.83,4.6,0,6.13,3.06,7.66,31.4,9.19,3.06
120,0,0,97.99,5.88,3.92,37.24,5.88,25.48,7.84,101.91,21.56,0,1.96,7.84,7.84,1.96,1.96,21.56,1.96,295.93,1.96,11.76,27.44,90.15,1.96,1.96,21.56,0,11.76,35.28,0,0,13.72,1.96,0,5.88,5.88,3.92,27.44,17.64,0
