stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,22.16,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,5.64,0,0.81,0,0,0,0,0,0,0,0,29.81,0,0,0,0,0,0,0,5.64,0,0,0,0.81
 48-58,0,0,0,0,6.31,0,0,0,14.92,0,0,0,0.57,0,0,0,1.72,0,0,21.23,0,0.57,0,0,0,0,0,6.89,0,0.57,0,0
 60-70,0,0,0,0,8.83,0,0,0,80.48,0,0,0.98,0,0,0,0,3.93,0,0.98,43.19,0,0.98,0,0,0,0,0,4.91,0,0.98,0,0
 72-82,0,1.96,0.98,0,22.58,0,0,0.98,277.81,0,0.98,0,0,0.98,0.98,0,25.52,1.96,0,105.04,0,0,0.98,0,0,1.96,0,3.93,0.98,0.98,0,0
 84-94,0,3.19,0,0,27.61,1.06,0,0,220.9,1.06,0,0,1.06,1.06,0,1.06,16.99,1.06,2.12,57.35,0,1.06,1.06,0,0,1.06,0,4.25,0,0,0,1.06
 96-106,0,10.93,3.28,0,40.44,0,2.19,1.09,360.64,2.19,0,2.19,1.09,0,1.09,1.09,15.3,0,1.09,91.8,0,0,1.09,0,0,2.19,0,10.93,0,0,0,0
108-118,0,3.06,0.77,1.53,19.92,0,0,0,304.09,0,0,0.77,0,0,0,0.77,13.02,0,0.77,85.02,0.77,0.77,0,0,0.77,3.06,0.77,1.53,0,1.53,0.77,0.77
120,0,0,0,1.96,15.68,0,0,0,346.88,0,0,0,0,0,1.96,0,11.76,1.96,0,90.15,0,0,0,0,0,0,0,9.8,0,3.92,0,0
