stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,ionocyte,mucous,mural_cell,muscle,neural,olfactory,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,1.64,0,0,0.82,0,0
 36-46,0,0,0.81,0.81,0,0,0,0,0,0,1.61,0,0,0,0,0,0.81
 48-58,0.57,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0.57
 60-70,0.98,0,1.96,0,0.98,0,0,0,0,0,3.93,0,0.98,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,1.06,1.06,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,1.09,0,0,0,0,1.09,0,0,0,1.09,0,0,3.28,0,0,0,0
108-118,1.53,0,1.53,0,0,0,0,0,0.77,0,2.3,0.77,0,0,0,0,0
120,1.96,0,0,0,0,0,1.96,0,0,0,5.88,0,3.92,0,0,0,0
