stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,10.51,5.26,0,123.55,0,0,0,0,0,0,0,531,7.89,0,0,281.27,0,0,0,0,0,0
 10-12,0,9.44,0,0,75.53,0,0,0,0,0,0,0,135.32,3.15,0,0,28.32,0,0,0,0,0,0
 14-21,0,0,1,1,3,0,0,0,0,0,0,0,57,0,0,0,2,0,2,0,2,0,0
 24-34,0,0,0,0.82,2.46,0,0,0,0.82,0,0,0.82,18.88,1.64,0,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,9.67,0,0,0,0,2.42,0,0,0.81,0,0.81
 48-58,0,0,0,0,4.02,0,0,0,0.57,0,0,0.57,2.87,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,24.54,0,0,0.98,1.96,0,0.98,0,2.94,0,0,0,0,0,0,0.98,0.98,0,0
 72-82,0,0,0,0,70.68,0,0,0,9.82,0,3.93,0,6.87,0,0.98,0,0,0,0,0,0,1.96,0.98
 84-94,0,0,0,0,76.47,0,0,0,4.25,0,1.06,0,2.12,0,0,1.06,0,2.12,0,0,0,0,0
 96-106,0,0,0,4.37,80.87,1.09,1.09,0,3.28,1.09,5.46,1.09,5.46,0,0,0,0,2.19,0,0,1.09,0,2.19
108-118,0,0,0,0,60.51,0,0,0,2.3,0,6.13,0,3.83,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,70.55,0,0,0,0,0,5.88,3.92,5.88,0,0,0,0,0,0,0,0,0,0
