stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,724.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,625.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,13.14,0,10.51,0,0,44.69,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,286.53,5.26,0,0,110.41,18.4,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,22.03,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,6.29,0,0,103.85,15.73,3.15,0,12.59,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,10,5,7,0,0,1,0,1,0,0,1,0,0,9,0,4,0,0,6,72,13,1,3,1,6,1,9,0,0,17,28,0,1,0,0
 24-34,0,0,0.82,0,4.1,3.28,22.16,0,0,0.82,0,0.82,0,0,0.82,0.82,0,6.57,1.64,9.03,0,0,4.1,115.74,3.28,0.82,0.82,0,9.85,0,0,0.82,0,1.64,36.12,0,0,0,1.64
 36-46,0,0,0,0,2.42,1.61,33.03,0,0,1.61,0,0,0.81,0,0,0,0,0.81,3.22,0.81,0,0.81,4.03,82.98,0,0.81,2.42,0,5.64,0,0,0.81,0,0,15.31,0,0,0,0
 48-58,0,0,0,0,1.72,0.57,72.3,0,0.57,8.03,0,0,0,0,0,1.15,0,1.15,0.57,20.08,0.57,1.15,1.72,95.83,0,0,0,0,10.33,0,0,0,0,0,12.05,0,2.3,0,1.15
 60-70,0,0,0,0,2.94,0,66.74,0.98,0,12.76,0.98,0,0,0,0,0,0,0.98,1.96,20.61,0,0,1.96,87.36,0,0,0,0,18.65,0,0,0,0,0,9.82,0,2.94,0,0
 72-82,0,0,0,0,0,1.96,58.9,0.98,0.98,8.83,0,0,0,0.98,0.98,0,0,0,1.96,18.65,0,0.98,3.93,53.99,0.98,0,3.93,0,23.56,0,0,0,0,0,2.94,0,1.96,0.98,0
 84-94,0,0,0,0,5.31,0,61.6,0,0,3.19,2.12,0,0,0,1.06,1.06,0,2.12,1.06,14.87,1.06,0,2.12,37.17,0,0,0,0,96.65,0,0,0,0,0,1.06,1.06,3.19,0,0
 96-106,0,0,0,0,1.09,0,42.62,1.09,0,4.37,3.28,0,0,2.19,3.28,0,1.09,0,0,8.74,0,1.09,1.09,26.23,2.19,2.19,1.09,0,52.46,0,0,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0,0,3.06,0.77,22.21,0,0,3.83,1.53,0,0,0.77,1.53,0.77,0.77,0.77,1.53,6.89,0.77,0,2.3,23.74,0,0.77,0,0,46.72,0.77,0,0,0,0,1.53,0,0.77,0.77,0
120,0,0,0,0,3.92,0,43.12,0,0,5.88,1.96,0,0,5.88,0,0,0,0,0,7.84,0,0,1.96,29.4,0,0,3.92,0,21.56,0,0,1.96,0,0,1.96,0,1.96,0,0
