stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,93,20,0,5,0,0,0,0,0,0,0,1,0,0,1,0,258,0,0,116,54,1,0,2,0,0,0,4,0,0,1,1,0,0,0,0,0
 24-34,0.82,0,0,132.16,6.57,0,4.1,0,0.82,3.28,0,0,0,0,0,1.64,16.42,0.82,0,1083.53,1.64,0,239.69,151.04,0.82,1.64,6.57,0,0,1.64,0.82,0,0.82,0,12.31,0,0,2.46,0,0
 36-46,0,0,0,37.06,2.42,0,6.45,0,0,11.28,1.61,0,1.61,0,0,0,15.31,0.81,0.81,1146.47,0,0.81,274.73,84.6,0.81,0,7.25,0,0,2.42,0.81,0,0,0,12.09,0,0,2.42,0,0
 48-58,0,0,0,21.23,2.3,0,22.38,0.57,0.57,29.84,5.74,0,1.15,1.15,0.57,0.57,12.62,0.57,0,1758.14,0.57,1.72,223.21,110.17,0,0.57,8.03,0,0,2.3,0,0,0,0,15.49,0,3.44,1.72,0,1.15
 60-70,0,0,0,7.85,0.98,0,40.24,0.98,0,31.41,3.93,0,0,0,0,0,9.82,1.96,0,2192.72,0,7.85,121.71,78.52,0,0,4.91,0,4.91,0.98,0,0.98,0,0,3.93,0,10.8,3.93,1.96,1.96
 72-82,0,0,0.98,15.71,0.98,0,107.98,3.93,0,47.12,10.8,2.94,0,0.98,0,0,7.85,0.98,0,2655.4,0.98,13.74,123.69,92.28,0.98,0,9.82,0,8.83,1.96,0,0,0,0,4.91,2.94,25.52,7.85,21.6,0
 84-94,1.06,0,0,12.74,0,0,162.49,1.06,2.12,32.92,12.74,1.06,1.06,2.12,1.06,1.06,9.56,0,0,1991.32,0,13.81,80.71,50.98,1.06,0,6.37,0,2.12,3.19,0,0,0,0,1.06,0,20.18,6.37,15.93,0
 96-106,0,0,0,28.41,3.28,0,114.75,0,3.28,36.06,16.39,3.28,0,5.46,1.09,1.09,3.28,1.09,0,1695.01,2.19,13.11,64.48,72.13,0,2.19,20.76,0,8.74,2.19,0,3.28,0,0,1.09,1.09,19.67,2.19,18.58,0
108-118,0,0,0,16.09,1.53,0,52.09,0,1.53,19.92,8.43,0.77,0.77,1.53,0.77,0,6.13,1.53,0,1442.31,0.77,10.72,62.04,81.96,0,0,10.72,0,7.66,2.3,0,0,0,0,0.77,0.77,9.96,3.06,15.32,0
120,0,0,0,27.44,0,1.96,48.99,0,0,19.6,5.88,0,0,0,0,0,1.96,3.92,0,1093.56,1.96,17.64,66.63,68.59,1.96,0,25.48,0,3.92,0,0,1.96,3.92,0,1.96,1.96,15.68,3.92,9.8,0
