stage,blastomeres,endocrine_pancreas,epidermis,eye,glial,gut,heart,mesenchyme,muscle,neural,olfactory,periderm,spinal_cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,0.57
 60-70,0,0,0,0,0,0,0,0.98,0,1.96,0.98,0,0.98
 72-82,0,0.98,0,2.94,0,0.98,0.98,1.96,0,3.93,0,0,0.98
 84-94,0,0,0,1.06,0,0,0,0,0,4.25,0,1.06,0
 96-106,0,0,0,1.09,0,0,0,0,0,2.19,0,0,0
108-118,0,0,0.77,1.53,0,0,0,0.77,0.77,3.83,0,0,0
120,0,0,0,1.96,1.96,0,0,0,0,9.8,1.96,0,0
