stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0.82,16.42,0,0,0.82,0,0.82,2.46,0,0.82
 36-46,0,0,0,0.81,0,0,0.81,0,0,1.61,0,0,4.03,0.81,18.53,0,0,0,0.81,0,6.45,0,0
 48-58,0,0,0,0.57,0,0,2.87,0.57,0,4.59,0.57,0,2.87,0,17.79,0,0,0.57,0,0,2.87,0,0
 60-70,0,0,0,0,0,0,2.94,0.98,0,0.98,0,0,3.93,0.98,6.87,0,0,1.96,0,0,1.96,0,0
 72-82,0,0,0.98,0.98,0,0,9.82,0,0,3.93,0.98,0,5.89,0.98,12.76,0,0,0,0,0,2.94,0.98,0
 84-94,0,0,0,0,1.06,0,5.31,0,0,1.06,0,0,4.25,1.06,11.68,0,1.06,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,2.19,3.28,0,0,0,0,0,2.19,0,8.74,1.09,0,0,0,0,2.19,0,1.09
108-118,0,0,0,1.53,0,0,0.77,0,0.77,3.06,0,0,1.53,0.77,4.6,0,0,0,0.77,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,1.96,0,0,3.92,0,13.72,0,0,3.92,0,0,1.96,0,0
