stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,lateral_line,mesenchyme,muscle,neural,olfactory,otic,pronephros,somites,spinal_cord,taste
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,15,0,0,2,0,7,0,3,12,0,50,0
 24-34,0,0,0,0.82,0,0.82,0,0,21.34,0,0,0.82,0.82,7.39,0.82,0,8.21,0.82,46.79,0
 36-46,0,0,0,0,0,0,0,0.81,22.56,0,0,2.42,0,9.67,2.42,0,3.22,0,31.42,0
 48-58,0,0,0,0,0,1.72,0.57,0,24.67,0,0,0,0,8.61,2.3,1.15,2.3,0,26.4,0
 60-70,0,0,0,0,0,0.98,0,0,10.8,0,0.98,0,0,0.98,1.96,0.98,0,0,14.72,0
 72-82,0,0,0,0,0,0.98,0,0,16.69,0.98,0.98,0,0,5.89,6.87,4.91,0.98,0,6.87,0
 84-94,0,0,1.06,0,0,4.25,0,0,21.24,0,2.12,0,0,3.19,4.25,4.25,2.12,0,8.5,1.06
 96-106,0,0,1.09,0,0,1.09,0,0,8.74,0,5.46,0,0,3.28,7.65,8.74,1.09,0,4.37,0
108-118,0,0,0,0,0,0,0,0,11.49,0.77,2.3,0.77,0,3.06,3.06,3.83,2.3,0,3.83,0
120,0,0,0,0,0,0,0,0,3.92,0,5.88,0,0,0,0,7.84,5.88,0,0,0
