stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,heart,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,23.66,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,28.32,3.15,0,6.29,0,0,3.15,0,0,0
 14-21,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,13,0,0,1,0,3,1,1,6,0
 24-34,0,0,0,0,0,0,4.1,0.82,0,0,0,0,1.64,0,1.64,27.09,0,0.82,0,0,0,0,0,4.1,0
 36-46,0,0,0.81,0,0,0,4.03,0.81,0,0,0,0,2.42,0,0.81,25.78,0,0,0.81,0,0,0,0,5.64,0
 48-58,0,0,0,0,0,0,10.9,2.87,0,0,0,0,4.02,0,0.57,22.38,0,0,0,0,0,0,0,4.59,0
 60-70,0,0,0,0,0,0,8.83,1.96,0,0,0,0,8.83,0,0,16.69,0,0,0,1.96,0,0,0,2.94,0
 72-82,0,0,0,0,0,0,5.89,0,0,0,0,0.98,5.89,0,0,14.72,0,0,0,0.98,0,0,0,0.98,0
 84-94,0,0,0,1.06,1.06,0,2.12,0,0,0,0,0,2.12,0,1.06,9.56,0,0,0,0,0,0,0,0,2.12
 96-106,0,0,0,0,0,0,8.74,0,0,0,1.09,1.09,3.28,0,0,7.65,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0.77,1.53,2.3,0.77,0.77,0,0,0.77,0,0,7.66,0,0,0,0.77,0,0.77,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0
