stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,421.69,8223.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.23,0,0,0,0,0,0,0,0,0,0,0
  5-6,392.3,3922.97,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,190.02,42.91,0,0,61.3,0,239.06,0,0,0,0,0,0,0,0,0,0,0
  7-9,118.29,44.69,0,155.09,0,2.63,0,178.75,0,0,0,0,84.12,0,0,0,0,0,0,0,0,0,0,0,1869.02,76.23,0,0,883.25,0,55.2,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,50.35,0,107,0,31.47,0,188.82,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,1479.08,25.18,0,0,522.4,0,22.03,6.29,9.44,66.09,0,6.29,3.15,0,0,0,0,0
 14-21,2,0,0,18,261,94,0,67,0,0,11,4,1,0,5,17,0,0,1,0,84,0,0,69,973,30,20,20,52,0,198,1,192,16,1,102,394,0,0,7,0,0
 24-34,0,0,0.82,6.57,105.89,55,0,331.63,3.28,2.46,36.94,2.46,0,1.64,21.34,5.75,2.46,6.57,3.28,1.64,174.02,13.95,1.64,65.67,2022.59,26.27,30.37,27.09,0,0,354.61,0,0.82,2.46,0.82,21.34,494.98,0,0,33.66,0,7.39
 36-46,0,0,0,0,48.34,37.06,0,764.58,1.61,0.81,25.78,2.42,0,3.22,20.95,0.81,4.83,1.61,0.81,0,136.96,3.22,6.45,37.06,1375.28,6.45,12.09,4.83,0,0,124.88,0,1.61,2.42,0,0,308.57,0,0,12.09,0,6.45
 48-58,0.57,0,0,0.57,57.38,44.76,0,903.74,2.3,1.15,28.12,2.87,0,3.44,17.79,1.72,6.31,2.3,1.72,0.57,135.99,3.44,5.74,30.99,658.15,2.87,7.46,7.46,0,0,49.35,0,0,0.57,0,0,124.52,0,0,16.07,0,4.02
 60-70,0,0,0,0,50.06,6.87,0,616.4,0,4.91,35.33,7.85,0,0.98,6.87,0,1.96,5.89,1.96,0.98,106.99,0.98,6.87,21.59,322.92,3.93,1.96,1.96,0,0,39.26,0,0,0.98,0,0,24.54,0,0,10.8,0,4.91
 72-82,0,0,0,0,55.95,4.91,0,258.18,0.98,5.89,55.95,16.69,0,3.93,22.58,1.96,2.94,0.98,6.87,0,119.76,0.98,11.78,14.72,277.81,0,3.93,3.93,0,0,26.5,0,0,1.96,0,0,8.83,1.96,0.98,13.74,5.89,2.94
 84-94,0,0,0,1.06,87.09,18.05,0,204.97,0,6.37,25.49,28.68,0,1.06,30.8,6.37,6.37,2.12,11.68,0,95.58,0,19.12,14.87,182.67,6.37,4.25,6.37,0,1.06,49.92,0,0,0,0,0,5.31,12.74,2.12,23.36,3.19,0
 96-106,0,0,0,0,71.04,22.95,2.19,174.86,1.09,2.19,30.6,25.14,0,7.65,41.53,4.37,1.09,5.46,2.19,0,83.06,3.28,15.3,9.84,189.06,5.46,7.65,2.19,0,0,68.85,0,0,5.46,0,0,4.37,1.09,1.09,13.11,6.56,0
108-118,0,0,0,0,42.13,26.04,0,132.51,0.77,3.83,35.23,17.62,0,0,35.23,1.53,3.06,1.53,0,0.77,45.19,0.77,9.19,9.96,224.43,3.83,5.36,6.89,0,0,35.23,0,0,1.53,0,0,6.89,6.13,0,16.09,9.96,0.77
120,0,0,0,0,19.6,31.36,0,121.51,0,0,41.16,3.92,0,0,35.28,3.92,1.96,0,0,0,58.79,0,9.8,5.88,174.42,1.96,0,5.88,0,1.96,25.48,0,0,1.96,0,0,1.96,3.92,5.88,17.64,3.92,1.96
