stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,21,72,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,12,2,2,6,1,0,0,4,0,0,11,2,0,0,1,0,0
 24-34,0,0,0.82,22.98,0,0.82,13.95,0,0,0,0,0,0,0,0.82,4.93,0,0.82,6.57,0,0,9.03,30.37,7.39,22.98,13.13,0,0,0.82,0,0,0,18.06,5.75,0,0,4.1,0,0
 36-46,0,0,0,16.11,0,0.81,19.34,0,0,0.81,0,0.81,0,0,4.83,2.42,0,0,12.09,0.81,1.61,9.67,46.73,1.61,12.09,13.7,0,0,0,0,0,0,3.22,6.45,0,0,3.22,0,0.81
 48-58,0,0,0,14.35,0.57,4.59,29.26,0,0,3.44,0,0,0,0,9.75,4.02,0,0.57,16.64,0,2.87,13.2,52.79,0.57,9.18,12.05,0,0,0,0,0,0,0,6.89,0,0,2.3,0,3.44
 60-70,0,0,0,11.78,0.98,9.82,38.28,0,1.96,6.87,0,2.94,0,0,9.82,1.96,0,0,25.52,0,1.96,19.63,61.84,3.93,10.8,7.85,0,0.98,0,0,0,0.98,0,1.96,0,2.94,4.91,1.96,4.91
 72-82,0,0,0,11.78,0,11.78,24.54,0.98,1.96,34.36,0,2.94,0.98,0,5.89,2.94,0,0,51.05,0,7.85,21.6,81.48,0,25.52,30.43,0,0.98,0,0,0,0,0,4.91,1.96,5.89,15.71,2.94,2.94
 84-94,0,1.06,0,11.68,1.06,10.62,35.05,0,0,20.18,1.06,2.12,1.06,0,4.25,3.19,0,0,28.68,0,7.43,25.49,45.67,1.06,46.73,31.86,0,0,5.31,0,0,1.06,0,1.06,5.31,5.31,11.68,8.5,3.19
 96-106,0,0,0,17.49,1.09,6.56,51.36,3.28,1.09,33.88,5.46,3.28,2.19,1.09,5.46,10.93,2.19,0,30.6,1.09,3.28,20.76,54.64,2.19,80.87,36.06,1.09,1.09,4.37,0,0,3.28,0,2.19,1.09,3.28,19.67,8.74,6.56
108-118,0,0.77,0,12.26,0.77,7.66,54.38,0.77,0,27.57,3.06,2.3,1.53,0.77,11.49,3.06,0,0,27.57,0,5.36,18.38,50.55,0.77,53.62,29.11,0,0.77,2.3,0,0.77,2.3,0,0.77,2.3,0,13.79,5.36,7.66
120,0,0,0,1.96,0,0,31.36,0,1.96,29.4,0,1.96,0,0,7.84,0,0,0,13.72,0,9.8,25.48,35.28,1.96,43.12,19.6,0,1.96,1.96,0,0,0,0,0,3.92,0,13.72,3.92,5.88
