stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,52.57,0,0,0,0,0,0,0,0,0,0,0,28.92,7.89,0,0,26.29,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,0,9.44,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,50.35,15.73,0,0,28.32,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,11,13,23,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,60,0,0,64,32,86,0,0,6,0,0,0,3,0,2,20,73,0,19,0,0
 24-34,0,0,8.21,20.52,3.28,0,18.88,0.82,13.95,3.28,1.64,2.46,0,0,0,0.82,0,0,0.82,0,197.01,0,0.82,68.13,55,17.24,0,0.82,0,0,0,0,0,0.82,0,4.1,46.79,0,90.29,0,0
 36-46,0,0,0,6.45,0,0,87.82,0,12.09,8.86,0.81,4.03,0,2.42,0,0,0,0.81,0.81,0,219.14,0,6.45,57.2,43.51,6.45,0.81,0,0,0.81,0.81,0,0.81,0,0,0,27.39,0.81,60.43,0,0
 48-58,0,0,0,3.44,0,0,105.58,1.72,9.18,12.62,9.18,2.3,0,2.3,0,0,0,0.57,0,0.57,266.25,0,5.74,37.87,32.13,4.02,0,2.3,0,2.87,0.57,0,0,0,1.15,0,17.79,2.87,41.31,0,0
 60-70,0,0,0,1.96,0,0,51.04,0.98,20.61,8.83,20.61,3.93,0,0.98,0.98,0,3.93,1.96,0.98,0,321.94,0,14.72,21.59,24.54,1.96,0,0,0,4.91,0.98,0,0,0.98,0,0,8.83,6.87,36.32,0.98,0
 72-82,0,0,0.98,3.93,0,0,57.92,0.98,12.76,18.65,28.47,2.94,0,2.94,0.98,0,7.85,3.93,0.98,0,378.92,0,21.6,27.49,30.43,0.98,0.98,2.94,0,9.82,0.98,0,0,0.98,0,0,10.8,23.56,59.88,10.8,0.98
 84-94,1.06,0,0,4.25,0,1.06,47.79,1.06,27.61,13.81,14.87,1.06,0,0,3.19,0,7.43,0,2.12,1.06,230.46,0,18.05,18.05,25.49,2.12,0,3.19,0,4.25,1.06,0,0,0,2.12,0,7.43,12.74,45.67,10.62,0
 96-106,0,0,0,12.02,2.19,0,37.16,4.37,20.76,10.93,17.49,6.56,0,4.37,2.19,0,15.3,2.19,1.09,0,221.85,0,5.46,26.23,32.79,2.19,0,1.09,0,7.65,2.19,0,0,0,1.09,0,3.28,9.84,67.76,16.39,0
108-118,0,0,0,7.66,0,0,26.81,1.53,39.06,9.96,18.38,1.53,0,1.53,3.06,0.77,16.85,3.06,3.06,0,188.43,0.77,5.36,21.45,27.57,0.77,0.77,3.06,0,10.72,0.77,0,0,0,2.3,0,2.3,5.36,41.36,5.36,0
120,0,0,0,11.76,1.96,0,41.16,1.96,13.72,3.92,15.68,3.92,0,0,5.88,0,11.76,0,1.96,0,137.18,0,13.72,13.72,35.28,5.88,0,1.96,0,1.96,0,0,0,0,0,0,0,3.92,31.36,5.88,1.96
