stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,1,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,4.1,0,1.64,0,0,12.31,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,1.61,20.14,0,2.42,0,0,8.86,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0,0,1.15,1.15,0,0,9.18,0,2.87,0,0,3.44,0,0,0,1.15,0,0
 60-70,0,0,0,2.94,0,0,2.94,0,0.98,0.98,0,0,0,0,0,0,2.94,0.98,0,0,8.83,0,1.96,0,0,7.85,0,0,0,0,0,0.98
 72-82,0,0,1.96,0.98,0,0,1.96,0,1.96,0.98,0,0.98,0,0,0,0.98,1.96,3.93,1.96,0.98,10.8,0,9.82,0,0.98,3.93,0,1.96,2.94,0,0,0
 84-94,0,0,1.06,1.06,0,0,5.31,0,1.06,1.06,0,2.12,2.12,0,0,0,4.25,1.06,0,1.06,13.81,0,3.19,0,0,16.99,0,1.06,5.31,0,1.06,0
 96-106,0,0,1.09,3.28,0,0,5.46,1.09,3.28,3.28,0,2.19,2.19,0,0,2.19,1.09,4.37,0,0,10.93,0,5.46,0,0,24.04,0,0,3.28,1.09,0,1.09
108-118,0,0,0,2.3,0.77,0.77,0,0,4.6,4.6,0,7.66,0,0.77,0.77,0,5.36,3.06,0.77,0.77,6.13,0,3.83,0,0,7.66,0,0,7.66,0.77,0,0
120,0,0,0,1.96,0,0,0,0,3.92,0,0,0,0,0,0,0,1.96,3.92,3.92,1.96,1.96,0,3.92,0,0,13.72,0,0,0,0,0,0
