stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,2.63,0,5.26,0,0,7.89,0,0,0,102.52,0,0,0,0,0,0,0,0,339.1,2.63,0,0,44.69,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,3.15,3.15,0,0,0,47.2,0,0,0,0,0,0,0,0,91.26,0,0,0,59.79,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,5,4,0,0,0,0,0,0,0,0,0,8,0,2,45,0,0,0,0,0,0,0,0,3,14,0,0,0,0
 24-34,0,0,0,0,0,0,4.1,0,0,0.82,0,0,0,0,0,0,5.75,0,0.82,41.04,0,2.46,0.82,0,0,0,0,0,0,12.31,0,0,0,0
 36-46,0,0,0,0,0,0,4.03,0,0,1.61,0,0,0,0,0,0,1.61,0,0,20.14,0,1.61,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,4.02,0,0,1.15,0,0,0,0.57,0,0,4.59,0,0.57,31.56,0.57,0.57,0.57,0,0,0,0,0.57,0,4.02,0,0,0,0
 60-70,0,0,0,0,0,0.98,16.69,0,0,7.85,0,0,0,0,0,0,8.83,0,0,106.99,0,0.98,0,0,0,0,0,0,0,6.87,0,0,0,0
 72-82,0,0,0.98,0,2.94,1.96,18.65,0.98,0.98,17.67,0,0.98,0,0,0.98,0,22.58,0.98,1.96,221.86,0,0.98,0.98,0,0.98,0,0,0,0,2.94,0,0.98,0.98,0.98
 84-94,0,0,0,0,2.12,0,22.3,0,0,8.5,0,0,0,1.06,0,0,16.99,0,1.06,101.96,0,1.06,0,0,0,1.06,0,0,0,2.12,1.06,0,0,0
 96-106,0,0,0,0,4.37,1.09,20.76,0,1.09,12.02,0,0,1.09,0,1.09,1.09,27.32,0,1.09,115.84,0,0,2.19,0,0,2.19,0,0,0,2.19,0,0,0,0
108-118,0,0,0.77,0,2.3,0,10.72,0,0.77,6.89,0,0,1.53,0,0,0,20.68,0,0,161.62,0,2.3,1.53,0,0,0.77,0,0,0,2.3,0,0,0,0
120,0,0,0,0,0,1.96,9.8,0,3.92,5.88,0,0,1.96,0,0,0,9.8,0,0,113.67,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
