stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,36.8,0,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,12.59,0,0,0,9.44,0,0,0,0,0,147.91,3.15,0,0,15.73,3.15,9.44,0,6.29,0,0
 14-21,0,0,0,0,0,0,1,0,0,30,0,0,0,0,1,0,22,0,0,2,1,0,17,1,75,0,0
 24-34,0,0,0,0,2.46,0,0.82,0,0,25.45,0,0,1.64,0,2.46,0.82,18.06,0,0,0.82,0,0,8.21,0.82,37.76,0,0.82
 36-46,0,0,0,0,0.81,0,4.03,0,0,13.7,0,0,0,1.61,0.81,0,12.09,0,5.64,0,0,0,3.22,0,40.28,0,0
 48-58,0,0,0,0,1.15,0,2.87,0,0,17.79,0,0,1.72,0,1.72,0,12.62,0.57,5.74,2.3,0,0,1.72,0,21.8,0,0
 60-70,0,0,0,0,1.96,0,3.93,0,0,12.76,0,0,0.98,0,0.98,0,6.87,0,10.8,3.93,0,0,2.94,0,16.69,0,0
 72-82,0,0,0,0,0.98,0,4.91,0.98,0,11.78,0,0,4.91,0,0.98,0,6.87,0,10.8,6.87,0,0,0,0,2.94,0,0
 84-94,0,0,1.06,0,5.31,0,4.25,1.06,1.06,2.12,0,0,5.31,0,1.06,0,4.25,0,8.5,6.37,0,0,1.06,0,7.43,0,0
 96-106,0,0,0,0,1.09,1.09,4.37,0,0,6.56,0,0,9.84,0,1.09,0,1.09,0,17.49,9.84,0,0,2.19,0,7.65,0,0
108-118,0,0,0,0,5.36,0,2.3,2.3,0,5.36,0,0,7.66,0,0.77,0,4.6,0,12.26,8.43,0,0.77,1.53,0,3.06,0.77,0
120,0,0,0,0,5.88,0,3.92,0,0,3.92,0,1.96,9.8,0,0,0,1.96,0,7.84,3.92,0,0,0,0,3.92,0,0
