stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,9.44,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,1,7,1,0,3,0,0,0,0,1,2,0,0,0,0,0,0,1,0,2,18,7,0,0,1,3,1,1,2,0,8,0,0,0,0
 24-34,0,0,0,0,4.1,0,0,4.1,0,0,4.93,0,0.82,0.82,0,1.64,0,0,0,0,2.46,0.82,4.93,34.48,19.7,0.82,0.82,0,7.39,0,0,0.82,1.64,12.31,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,12.09,0,1.61,8.06,1.61,0,0.81,0,0,0,0,0,0,5.64,0.81,1.61,37.87,8.86,0.81,0.81,0,12.09,0.81,0,0.81,0,16.11,0,0,2.42,0
 48-58,0,0,0,0,0.57,0,0,40.17,0,1.72,8.03,4.02,0,0.57,0,0,0.57,0,0,0.57,2.87,1.15,0,21.23,3.44,0,0,0,4.02,0,0,0,0,15.49,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,246.36,0,0,3.93,3.93,0.98,0,0,0,0,0,0,0,2.94,0,1.96,23.56,0,0,0,0,1.96,0,0,0,0,4.91,1.96,0.98,0,0
 72-82,0,0,0,0,0,0,0,376.96,0,0,11.78,2.94,0.98,0,0.98,0.98,0,0,0,0,13.74,0.98,0,27.49,5.89,0.98,0.98,0,3.93,0,0,0.98,0,8.83,20.61,0,2.94,0
 84-94,0,0,0,1.06,13.81,2.12,0,372.78,0,0,4.25,5.31,3.19,1.06,1.06,0,0,1.06,0,1.06,7.43,2.12,1.06,9.56,1.06,2.12,0,0,6.37,0,0,0,0,8.5,67.97,0,1.06,0
 96-106,0,0,1.09,0,8.74,0,0,242.61,0,3.28,2.19,4.37,2.19,0,2.19,0,0,1.09,0,0,10.93,0,1.09,13.11,9.84,1.09,2.19,0,6.56,0,0,0,0,6.56,103.82,1.09,0,1.09
108-118,0.77,0,1.53,0,8.43,0.77,3.06,173.11,0.77,4.6,1.53,2.3,2.3,0,1.53,1.53,0,0,1.53,0,10.72,0.77,3.06,19.92,16.85,0.77,0,0,8.43,0,0,0,0,6.13,91.15,0.77,1.53,1.53
120,3.92,0,0,0,19.6,1.96,0,84.27,0,1.96,1.96,0,1.96,0,7.84,0,0,0,0,0,11.76,0,1.96,13.72,25.48,0,0,0,0,0,0,0,0,3.92,31.36,0,0,0
