stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,12.26,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,18.4,2.63,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12,0,0,1,1,1,0,1,1,7,0,0,0
 24-34,0,0,0.82,0,0,0,1.64,0,0,0,5.75,0,0,0,0,0,0,0,0.82,0,0,87.01,0,1.64,0,0,0,0,0.82,0,19.7,4.1,0,0
 36-46,0,0,0,0,0,0,4.03,0,0,0,9.67,0.81,0,0,0,0,0,0,2.42,0,0,124.88,0,2.42,0,0,0,0,0,0,28.2,4.03,0,0.81
 48-58,0,0,0,0.57,0.57,0,10.33,0,0,1.15,9.75,1.72,0,0.57,0,0,0,0,2.3,0,0,160.67,0,2.3,0,0.57,0,0,0,0,26.4,8.03,0,0
 60-70,0,0,0,0.98,0,0,21.59,0,0,0,2.94,0,0,0.98,0,0,0,0.98,3.93,0,0.98,172.75,0,0,0,0,0,0,0.98,0,26.5,3.93,0,0
 72-82,0,0,0,0.98,0,0,26.5,0,0,0,7.85,0,0,0,0,0,0.98,0.98,1.96,0,0,161.97,0,0,0.98,0,0,0,0.98,0,8.83,10.8,0,0
 84-94,0,0,0,1.06,0,0,26.55,0,1.06,0,4.25,4.25,0,0,0,0,1.06,2.12,1.06,1.06,0,73.28,0,1.06,0,0,0,0,0,0,9.56,9.56,1.06,0
 96-106,0,0,0,0,1.09,1.09,18.58,0,0,0,5.46,1.09,0,0,1.09,0,2.19,0,4.37,0,0,64.48,0,3.28,1.09,0,0,0,1.09,0,1.09,9.84,0,0
108-118,0,0,0,0,0,2.3,10.72,0,0,0,2.3,0.77,0,0.77,0.77,1.53,0.77,1.53,1.53,0,0,45.19,0,0.77,0.77,0,0.77,0,1.53,0,2.3,6.89,0,0.77
120,0,0,0,1.96,0,0,13.72,1.96,0,1.96,0,5.88,0,0,0,0,0,0,3.92,0,0,31.36,0,0,5.88,0,0,0,0,0,0,5.88,0,0
