stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,63.09,0,0,0,28.92,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,182.52,0,0,0,28.32,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,226,22,0,1,1,0,0,0,0,12,1,1,0,0,0,3,0,0,1,6,0,1,1,0,0,1,0,1,5,1,9,0,0,1,0,0
 24-34,0,0,0.82,274.99,18.06,0,4.1,23.8,0,1.64,0.82,0,53.36,0.82,0.82,9.03,0,3.28,6.57,0.82,0,1.64,23.8,0,14.78,0,0,0,5.75,0,0,13.13,0.82,7.39,0,0,9.03,0,0
 36-46,0,0,0,104.74,4.03,0,4.03,26.59,0.81,1.61,1.61,0,64.45,0.81,0,4.03,0,0.81,4.03,0,0,0.81,19.34,0,6.45,0,0,0,3.22,0,0,5.64,0,6.45,0,0,2.42,0,1.61
 48-58,0,0,0,70.58,9.75,0,6.31,30.41,0,2.3,0.57,0,67.71,0.57,0.57,1.72,0.57,1.15,10.33,0.57,0,0,21.8,0,2.3,0,0,0,0.57,0,0,2.87,0,4.59,0,0,2.87,0,0.57
 60-70,0,0,0,61.84,8.83,0,10.8,27.48,1.96,1.96,0.98,0,58.89,0.98,0,3.93,0,0.98,15.7,2.94,0,0,12.76,0,5.89,0,0.98,0,1.96,0,0,1.96,0,2.94,0,0,0.98,0.98,0
 72-82,0,0,0,61.84,31.41,0,8.83,20.61,0,4.91,2.94,0,98.17,0.98,0,1.96,0,0,38.28,2.94,0,0.98,14.72,0,5.89,0,0,0,0.98,0,0,0.98,0,0.98,0,1.96,0,0,0
 84-94,0,0,1.06,79.65,40.36,1.06,6.37,37.17,1.06,1.06,4.25,0,116.82,2.12,2.12,2.12,0,0,21.24,3.19,0,0,10.62,0,14.87,0,0,0,1.06,0,0,4.25,0,1.06,1.06,1.06,0,3.19,0
 96-106,0,0,2.19,77.59,29.51,0,8.74,16.39,0,1.09,10.93,0,128.96,3.28,0,3.28,2.19,0,19.67,0,1.09,0,16.39,1.09,13.11,3.28,0,0,2.19,0,0,2.19,0,0,0,1.09,2.19,0,0
108-118,0,0,2.3,89.62,18.38,0,3.06,32.17,0,3.83,9.96,0,111.06,3.83,2.3,0.77,1.53,0,22.98,2.3,0.77,0,15.32,0.77,12.26,0,0,0.77,0.77,0,0,5.36,0,0.77,1.53,2.3,2.3,3.83,1.53
120,0,0,3.92,88.19,13.72,0,0,19.6,0,1.96,9.8,0,154.82,1.96,1.96,3.92,0,0,11.76,1.96,0,0,5.88,1.96,11.76,1.96,0,0,7.84,0,0,0,0,0,3.92,0,3.92,0,0
