stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,heart,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,xanthophores
  3-4,26.36,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0
  5-6,24.52,306.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,10.51,0,0,7.89,0,0,0,0,0,0,0,0,186.64,2.63,0,68.35,7.89,0,0,0,0,0
 10-12,0,9.44,6.29,0,0,15.73,0,0,3.15,0,0,0,0,0,0,0,0,132.17,3.15,0,37.76,6.29,0,9.44,3.15,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,3,4,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0,1.64,13.95,0,0,0,0,0,0,0,4.93,0.82
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,4.83,0,0,0,11.28,0,0.81,0,1.61,0,0,0,2.42,0
 48-58,0,0,0,0.57,0,8.61,0,1.72,0,0.57,0,0,0.57,1.72,0,0,0,10.33,0,0,0,1.15,0,0,0,1.72,0
 60-70,0,0,0,0,0,10.8,0,0,0,0,0.98,0,0,1.96,0,0,0.98,5.89,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,3.93,0,1.96,0,0,0,0,0,1.96,0,0.98,0.98,7.85,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,7.43,0,2.12,0,0,1.06,0,0,0,0,0,0,2.12,0,0,0,2.12,0,0,0,0,0
 96-106,0,0,0,1.09,0,2.19,0,1.09,0,0,0,1.09,0,0,1.09,0,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,3.06,0.77,0,0,0,1.53,0,0,1.53,0,0,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,5.88,0,0,0,0,1.96,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0
