stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,202.28,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,13.14,0,0,0,23.66,0,0,0,0,15.77,0,0,0,0,0,199.78,13.14,0,0,139.32,0,2.63,0,0,0,0,0,0,0
 10-12,0,18.88,0,12.59,0,0,0,50.35,0,0,0,0,31.47,0,0,0,0,0,305.26,3.15,0,0,191.97,0,0,0,15.73,0,0,0,0,0
 14-21,0,0,0,0,10,1,0,2,0,0,1,1,0,0,0,0,2,0,25,0,0,0,0,0,0,5,0,1,7,9,0,0
 24-34,0,0,0,0,0,1.64,0,7.39,0,0.82,0,0,0,0,0,0,3.28,0.82,36.94,0,0.82,0.82,0,0.82,0,0,0,0,3.28,7.39,1.64,0
 36-46,0,0,0,0,0.81,0,0,7.25,0,0,0.81,0,0,0,0,0,4.03,0.81,37.87,0,0,0,0,0.81,0,0,0,0,0,8.06,0.81,0.81
 48-58,0,0,0,0,0.57,0.57,0,12.05,0.57,0.57,6.89,0,0,0,0.57,0,4.02,0.57,33.28,0,0,0.57,0,0,0,0,0,0,0,5.74,0,0
 60-70,0,0,0,0,0.98,0,0,15.7,0,0,3.93,0,0,0.98,0,0,5.89,0.98,45.15,0,0,0,0,0,0,0,0,0,0,3.93,0,0
 72-82,0,0,0,0,0,0,0,14.72,0,0,1.96,0,0,0,0,0,7.85,0,35.34,0,0,0,0,0,0,0,0,0,0,0.98,1.96,0
 84-94,0,0,0,0,0,0,1.06,13.81,0,1.06,1.06,0,0,0,0,0,4.25,1.06,12.74,0,0,0,0,1.06,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,0,1.09,2.19,0,0,0,0,0,0,0,1.09,2.19,1.09,13.11,0,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0.77,0,1.53,0,0,6.89,0,0,1.53,0,0,1.53,0.77,0,1.53,1.53,15.32,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0,15.68,0,0,0,0,0,0,0,0,0,0,0,1.96,0
