stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,7,0,0,0,1,0,2,9,0,0,0,0
 24-34,0,0,0.82,0,0,1.64,0,0,0,0.82,0,0,0,0,0,0.82,2.46,0,0,0.82,0.82,1.64,0,1.64,0,0,0,4.1,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0.81,0.81,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,1.72,1.15,0,0,0,0,0,0,0,0,0,3.44,1.15,1.15,1.15,2.3,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0.98,0,0,0,0,0,1.96,0.98,0,0,0,0,0,0,0,3.93,0,0.98,0.98,1.96,0,0,0,0,0.98,0,0,0.98,0.98,0,0
 72-82,0,0.98,0,0,0,1.96,0.98,6.87,0,0,0,2.94,0,0,0,0,0.98,0.98,0.98,1.96,9.82,0,0.98,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,1.06,0,0,0,5.31,0,0,0,2.12,1.06,0,0,1.06,2.12,1.06,0,0,2.12,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,1.09,1.09,0,3.28,1.09,0,0,5.46,0,0,1.09,0,0,2.19,0,2.19,2.19,0,0,1.09,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0,1.53,1.53,0,3.83,0.77,0,0.77,3.06,0.77,0.77,0,0,0,1.53,0,1.53,3.06,0,0,1.53,0,0,0.77,0,0,0,0,0.77
120,0,0,0,3.92,0,0,0,0,0,0,0,9.8,0,0,0,0,0,3.92,0,0,5.88,0,0,0,0,0,0,0,0,0,1.96,0
