stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,1080.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,999.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.43,0,0,0,12.26,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,49.95,65.72,0,0,0,70.98,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,841.19,18.4,0,0,315.45,2.63,21.03,0,0,0,0,0,0,0,0,0
 10-12,3.15,22.03,22.03,0,3.15,0,53.5,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,541.28,6.29,0,0,302.11,3.15,12.59,3.15,22.03,0,0,0,0,0,0,0
 14-21,0,0,6,34,4,0,10,0,1,0,6,0,5,2,0,0,0,0,2,0,22,0,0,10,201,2,2,4,4,9,1,15,2,1,23,63,0,1,0,0
 24-34,0,0,0,9.85,1.64,0,61.56,0,0.82,0,11.49,0,0.82,1.64,0,0,0.82,0.82,0,1.64,34.48,0,0.82,11.49,415.35,1.64,4.93,4.1,0,19.7,0,0,0,0,2.46,74.7,0,6.57,0,0.82
 36-46,0,0,0,6.45,2.42,0,222.36,0.81,0,0,8.86,0,0,0,0,0,0.81,0,0,0,40.28,0,2.42,10.47,393.97,2.42,4.03,0.81,0,8.06,0,0,0,0,0,77.34,0,7.25,0,0.81
 48-58,0,0,0,5.16,0,0,217.47,0,0.57,0,10.9,0,0,1.15,0,0,0.57,0,1.15,0.57,36.72,0,2.87,5.74,160.67,1.15,0,0.57,0,2.87,0,0,0,0.57,0,19.51,0,2.87,0,0
 60-70,0,0,0,5.89,1.96,0,212.01,0,0,0,12.76,0.98,0,0,2.94,0,0.98,1.96,0,0,34.35,0,1.96,4.91,139.38,0,0.98,0,0,4.91,0,0,0,0,0,7.85,0,0.98,0,0.98
 72-82,0,0,0,4.91,1.96,0,57.92,0,0,0,7.85,0.98,0,0,0,0,0,0,0,0,31.41,0,1.96,4.91,55.95,0,0,0.98,0,2.94,0,0,0,0,0,1.96,0,4.91,0,0
 84-94,0,0,0,7.43,2.12,0,61.6,0,1.06,1.06,11.68,2.12,0,0,0,1.06,0,1.06,1.06,0,27.61,1.06,4.25,4.25,48.85,1.06,1.06,2.12,0,7.43,0,0,0,0,0,1.06,0,5.31,0,0
 96-106,0,0,0,5.46,0,0,27.32,0,0,0,7.65,1.09,0,0,1.09,0,0,1.09,0,0,16.39,0,1.09,1.09,33.88,0,0,0,0,3.28,0,0,0,0,0,2.19,1.09,2.19,1.09,0
108-118,0,0,0,2.3,3.83,0.77,26.04,0,0,0,7.66,0,0,0,0.77,0,0,0,0.77,0.77,5.36,0,1.53,0,32.17,0,0.77,0,0,1.53,0,0,0,0,0,0,0.77,0,0.77,0
120,0,0,0,1.96,7.84,0,45.08,0,0,0,3.92,0,0,0,3.92,0,0,0,0,0,9.8,0,1.96,7.84,37.24,0,0,0,0,5.88,0,0,0,0,0,0,0,1.96,0,0
