stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,ionocyte,iridophores,melanocytes,mesenchyme,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,somites,spinal_cord
  3-4,65.89,527.12,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,24.52,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,13.14,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,3.15,3.15,0
 14-21,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,2,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,3.22,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,5.16,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,0,0,0.98,11.78,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,0,0,0.98,5.89,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.12,0,0,0,0,6.37,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,3.28,4.37,1.09,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0,0,0.77,0.77,0.77,6.89,0,0,0,0,0,0,0.77
120,0,0,0,0,3.92,0,1.96,0,0,1.96,5.88,1.96,0,0,0,0,0,0
