stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,21.03,2.63,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,2,3,4,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,13.13,0,3.28,0,0,0.82,0,0.82,7.39,0,0,0
 36-46,0,0,0.81,0,2.42,0,0,0,0,0,0,3.22,0,0.81,0,20.14,0,4.03,0,0,0.81,0,0,8.86,0,0,0
 48-58,0,0,13.77,0,7.46,0,0,0.57,0,0,0.57,5.16,0,0,0.57,34.43,0,2.87,0.57,0,0,0,0,7.46,0,0,0.57
 60-70,0,0,5.89,0,4.91,0,0,0,0,0,0,0.98,0,0,0,24.54,0,1.96,0.98,0,0,0,0.98,5.89,0.98,0,0
 72-82,0,0,17.67,0,6.87,0,0,0,0,0,0,8.83,0,0,0.98,23.56,0,11.78,0.98,0,0,0,0,1.96,0,0,1.96
 84-94,0,2.12,4.25,0,7.43,0,0,1.06,2.12,1.06,1.06,3.19,0,0,0,16.99,0,4.25,6.37,0,1.06,0,1.06,4.25,0,1.06,0
 96-106,0,0,2.19,0,3.28,1.09,0,0,2.19,0,0,3.28,0,0,1.09,4.37,0,12.02,5.46,0,1.09,0,0,4.37,0,1.09,0
108-118,0,0.77,3.83,0.77,3.83,0,0,0,0.77,0,0,5.36,0,0,0.77,8.43,0,6.13,1.53,0,0,0,0,1.53,0,0,0
120,0,0,3.92,0,0,0,0,0,0,0,0,0,1.96,0,0,11.76,0,1.96,5.88,0,0,0,0,3.92,0,0,0
