stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,146,1,3,0,1,0,0,1,0,0,0,0,0,0,1,0,4,0,0,5,16,0,0,0,0,0,1,3,0,3,5,0,0,0,0,0
 24-34,1.64,94.4,0,4.93,0,8.21,0,0,0.82,0,0.82,0,0.82,0.82,0,0,0,15.6,1.64,0,4.93,29.55,0.82,0,0,0,1.64,0,0,0,2.46,4.1,0,0,5.75,0,0
 36-46,0,35.45,0.81,5.64,0,8.86,1.61,0.81,0,0,1.61,0,0.81,0,0,0,3.22,25.78,0,0,4.03,25.78,0,0,0,0,0.81,0.81,0,0,0,4.83,0,0,2.42,0,0
 48-58,0,26.97,0,16.07,0.57,7.46,1.15,5.16,0,2.3,0,0,0.57,0,0,0.57,2.87,16.64,0.57,1.72,4.02,26.97,0,0,0.57,0,0.57,0,0,0.57,0,4.02,0,0.57,5.74,0,0.57
 60-70,0,25.52,0,15.7,0,15.7,0.98,9.82,0,0.98,0.98,0,0,0.98,0.98,0,0,27.48,0.98,0,3.93,28.46,0.98,0,0,0.98,0,0,0,0,0,0.98,0,0,5.89,0,0.98
 72-82,0,24.54,0.98,11.78,0,11.78,4.91,3.93,6.87,0.98,0,0,0,0,0,1.96,0.98,37.3,2.94,1.96,2.94,50.06,0,0.98,1.96,0,0,0,0,0,0,0,0.98,0.98,15.71,0,0.98
 84-94,0,75.4,1.06,11.68,0,27.61,2.12,2.12,6.37,4.25,0,2.12,0,1.06,0,1.06,1.06,26.55,0,3.19,4.25,19.12,0,2.12,1.06,0,0,0,0,0,0,1.06,2.12,1.06,9.56,0,0
 96-106,0,46.99,2.19,7.65,0,13.11,1.09,4.37,12.02,0,1.09,1.09,0,0,2.19,1.09,3.28,30.6,1.09,3.28,1.09,19.67,0,0,0,0,0,0,0,0,0,2.19,0,2.19,14.21,2.19,1.09
108-118,0,80.43,2.3,8.43,0,30.64,2.3,8.43,24.51,0,0,0,1.53,0.77,0,2.3,0,32.94,1.53,2.3,1.53,26.81,0.77,0.77,2.3,0.77,0.77,0,0,0,0,1.53,0,0,10.72,0.77,1.53
120,0,103.87,0,5.88,0,25.48,1.96,3.92,35.28,0,0,3.92,1.96,0,0,0,0,25.48,1.96,0,0,15.68,0,0,3.92,0,0,0,0,0,0,0,1.96,1.96,9.8,0,0
