stage,axial,blastomeres,endoderm,epidermis,eye,glial,heart,immune,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,7.89,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,31.47,3.15,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,3,3,0,0,0,3,2,11,0,0,0,0,1,0,1,3,0
 24-34,0,0,0,0,1.64,1.64,0,0,2.46,0,18.88,0,0.82,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,8.06,0,0,0,2.42,0.81,12.09,0,0,0,0,0,0,0,0.81,0.81
 48-58,0,0,0,0,5.16,2.3,0,0,3.44,0.57,6.31,0,0,0,0,0,0,0,2.87,0.57
 60-70,0,0,0,0,1.96,0,0,0,2.94,0,5.89,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0.98,0,1.96,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,6.37,0,0,0,0,0,7.43,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,2.19,1.09,1.09,0,0,1.09,0,1.09,0,1.09,0,0,0,1.09,0
108-118,0,0,0,0,0.77,1.53,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,1.96,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0
