stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,1106.95,19476.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764.32,0,0,0,0,0,0
  5-6,600.7,7128.77,0,0,0,0,0,0,0,24.52,0,0,0,0,0,128.72,6.13,0,0,67.43,128.72,0,0,0,0,0,0
  7-9,26.29,7.89,0,28.92,0,0,26.29,0,0,10.51,0,0,0,0,0,431.11,18.4,0,0,152.47,0,26.29,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,15.73,0,0,9.44,0,0,0,0,0,84.97,0,0,0,22.03,0,9.44,0,6.29,0,0,0
 14-21,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,9,1,1,0,0,0,1,2,0,2,3,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0.82,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0.81,0.81,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0.98,1.96,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,2.94,0,0,0,0.98,0,0,0.98,0,0.98,0,0,0.98,0,0.98,0,0,0,0,0,0.98
 84-94,0,0,1.06,0,1.06,0,1.06,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,1.53,0.77,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
