stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,5,0,0,0,24,0,0,0,0,0,4,1,16,0,7,14,3,1,1,36,0,82,0,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,21.34,0,0,0,0.82,0,4.1,0,14.78,0,14.78,6.57,0,0.82,0,20.52,0.82,54.18,0,0,0
 36-46,0,0,0,0,0.81,0,0.81,0,5.64,0,0.81,0,0,0,0.81,0,22.56,0,24.17,0.81,0,0.81,0,12.89,0,29,0,0,0
 48-58,0,0,0,0,0,0,1.15,0,10.33,0,0,1.72,0,0,1.15,0,9.18,0,13.77,1.15,0,0.57,0,5.16,0,21.23,0,0,0
 60-70,0,0,0,0,0,0,1.96,0,9.82,0,0,1.96,0,0,0,0,15.7,0,25.52,5.89,0,0.98,0,2.94,0,15.7,0,0,0
 72-82,0,0,0,0,0.98,0.98,9.82,0,15.71,0,0,2.94,0,0,0.98,0,18.65,0,29.45,9.82,0,2.94,0,1.96,0,20.61,0,0,0
 84-94,0,0,0,1.06,0,0,5.31,0,13.81,1.06,0,3.19,0,1.06,1.06,0,9.56,0,38.23,16.99,0,2.12,0,6.37,0,19.12,0,0,0
 96-106,0,0,0,0,1.09,0,2.19,0,16.39,0,0,5.46,0,1.09,0,0,10.93,0,53.55,15.3,0,4.37,0,6.56,0,18.58,0,0,1.09
108-118,0,0,0,0,0,0,3.06,0.77,8.43,0,0,3.83,0,0.77,1.53,0,10.72,0,36,14.55,0,0,0,7.66,0,19.92,0.77,0,0
120,0,0,0,0,0,0,1.96,0,5.88,0,1.96,9.8,0,1.96,0,0,11.76,0,21.56,13.72,0,1.96,0,5.88,0,7.84,0,1.96,0
