stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,289.91,6193.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,0,0,0,0,0,0,0,0
  5-6,312.61,5682.17,0,6.13,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,122.59,18.39,0,0,67.43,140.98,0,0,0,0,0,0,0,0,0,0
  7-9,102.52,86.75,0,157.72,0,2.63,241.84,0,0,0,0,120.92,0,0,0,0,0,0,0,0,0,0,0,2321.15,110.41,0,0,938.45,7.89,31.54,0,0,0,0,0,0,0,0,0
 10-12,0,107,0,160.5,0,6.29,229.73,0,0,0,0,59.79,0,0,0,0,0,3.15,0,0,0,0,3.15,2099.03,141.61,0,0,830.8,9.44,18.88,6.29,72.38,9.44,6.29,0,0,0,0,0
 14-21,0,0,1,1,16,3,3,0,0,1,2,0,0,0,0,0,0,0,0,4,0,0,3,60,4,0,1,4,3,0,7,1,7,23,0,0,2,0,0
 24-34,0,0,0,0,5.75,0,9.85,0,0,4.1,0,0,0,0,0,0,0,0.82,0.82,13.95,0,0,5.75,76.34,1.64,0.82,0.82,0,8.21,0,0.82,0.82,0,30.37,0,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,23.36,0.81,0,4.83,0,0,0.81,0.81,0,0,0,0,0,8.86,0.81,0.81,1.61,103.13,0,0.81,0.81,0,7.25,0,0,1.61,0,20.14,0,0,1.61,0,0
 48-58,0,0,0,0,0.57,0,29.26,0,0,4.59,0,0,0,0,0,0,1.72,0,0,6.89,0,0,1.72,46.48,0.57,1.72,0,0,1.72,0,0,0,0,10.9,0,0,1.15,0,0.57
 60-70,0,0,0,0,0.98,0,57.91,0,0,1.96,0.98,0,0,0,0,0,0,0,0,5.89,0,0.98,0.98,80.48,0,0.98,0.98,0,5.89,0,0,0.98,0,13.74,0,0,1.96,0,0
 72-82,0,0,0,0,3.93,0.98,74.61,0,0,4.91,0,0,0,0,0,0,0.98,0,0,8.83,0.98,0,0,50.06,0,1.96,0,0,0.98,0,0,0,0,8.83,0.98,0,2.94,0.98,0
 84-94,0,0,0,0,5.31,1.06,38.23,3.19,1.06,4.25,1.06,0,0,2.12,0,1.06,1.06,0,0,11.68,0,0,1.06,37.17,0,0,0,0,7.43,0,0,1.06,0,8.5,1.06,0,1.06,1.06,1.06
 96-106,0,0,0,0,3.28,1.09,34.97,0,1.09,7.65,1.09,0,1.09,1.09,0,0,0,0,0,5.46,0,0,0,26.23,0,0,1.09,0,4.37,0,0,0,0,3.28,1.09,1.09,0,1.09,0
108-118,0,0,0.77,0,3.83,0.77,20.68,1.53,0,3.83,0.77,0,0,0,0.77,0.77,0.77,0,0,6.89,0.77,0.77,0.77,22.21,0,0.77,0,0,3.83,0,0,0.77,0,1.53,0,1.53,0.77,0,0
120,0,0,0,0,7.84,0,23.52,5.88,0,5.88,0,0,0,1.96,0,1.96,0,0,0,3.92,0,0,3.92,19.6,1.96,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0
