stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.43,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0
 14-21,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,21,0,3,0,0
 24-34,0,0,3.28,0.82,0.82,0,0,0.82,0,0.82,0,0.82,0,0.82,0,0,0.82,6.57,0.82,0.82,0,49.25,0.82,0.82,0,1.64
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0,1.61,0,0,0.81,4.03,0,2.42,2.42,20.14,0,1.61,0,0
 48-58,0,0,0,0,2.87,0,1.72,0,0,0,0,0,0,1.15,0,0,0,1.72,0,0.57,0.57,12.05,0,2.3,0,0
 60-70,0,0,1.96,0,13.74,0.98,11.78,0,0,0,2.94,0.98,0,0,0,0,0,0,0,0,0.98,3.93,0.98,5.89,0,0
 72-82,0,0.98,2.94,0,15.71,0,25.52,0,0,0,14.72,0,0,5.89,0,0.98,0,0.98,0,1.96,2.94,4.91,0,4.91,0,0
 84-94,0,0,0,0,40.36,0,13.81,0,0,1.06,11.68,0,0,4.25,1.06,0,1.06,0,0,0,1.06,20.18,0,4.25,1.06,0
 96-106,0,0,3.28,0,33.88,0,19.67,0,0,0,7.65,1.09,1.09,5.46,0,2.19,0,3.28,0,0,1.09,10.93,0,7.65,1.09,0
108-118,0,0,5.36,0,44.43,0,18.38,0.77,0.77,1.53,16.85,0,0,0.77,0,0,0,3.83,0,0.77,4.6,7.66,0,4.6,0.77,0
120,0,0,3.92,0,19.6,0,13.72,1.96,0,0,13.72,0,0,1.96,0,0,0,1.96,0,0,1.96,3.92,0,1.96,1.96,0
