stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,lateral_line,liver,mesenchyme,muscle,neural,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0.82,0,0,0,0,0,0,7.39,0,1.64,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0.81,0.81,0.81,0,0.81,0,0,0
 48-58,0,0,0,0,0,1.72,0,0.57,0,0,0,0.57,0.57,0,2.87,0,0.57,0,0,0
 60-70,0,0,0,0,0,3.93,0.98,12.76,0,0,0,0,0.98,0,0.98,0,0,0,0.98,0
 72-82,0,0,0,0,0,0.98,0.98,65.77,0,0,0,0.98,1.96,0,14.72,0.98,0.98,0,0,0
 84-94,0,0,0,0,1.06,2.12,1.06,172.05,0,0,1.06,0,3.19,0,15.93,0,0,0,0,0
 96-106,0,0,0,2.19,1.09,5.46,3.28,246.98,0,1.09,0,1.09,3.28,1.09,10.93,2.19,1.09,1.09,0,0
108-118,0,0,0,0,0,2.3,3.06,269.62,0,0,0,0.77,1.53,0,13.02,2.3,0,0,0,0.77
120,0,0,0,0,0,3.92,0,156.78,1.96,0,0,0,0,0,5.88,0,0,0,1.96,0
