stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,13.14,5.26,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,3.28,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0.57,0,0,0,0,0.57
 60-70,0,0,0,0,0,0.98,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,1.96,0.98,0,0,0.98,0,0,0,0.98,0,0.98,0,0.98,0.98
 84-94,0,0,0,0,0,0,3.19,0,1.06,0,0,0,0,0,0,0,2.12,0,0,1.06
108-118,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0.77,0,0,0
