stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,41,0,1,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0,0,2.46,0,0,13.95,0.82,0,100.14,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0.81,2.42,1.61,0,101.51,0,0.81,0,0,0
 48-58,0,0.57,0,0,1.15,0,0.57,0,0,0,0,0.57,0,1.15,0,2.87,0.57,0.57,7.46,0,0.57,44.76,0,1.15,0,0,0
 60-70,0,0,0,0,4.91,0,0,0,3.93,0,0,0,0,1.96,0,4.91,0,0,3.93,0.98,0,102.08,0,1.96,0,0.98,0
 72-82,0,8.83,0,0,2.94,0,1.96,0,0.98,0,0,0,0,0,0.98,3.93,0,0,14.72,0,0,115.84,0,0,0,0,0
 84-94,1.06,5.31,0,0,3.19,0,4.25,1.06,1.06,0,0,0,0,2.12,0,3.19,1.06,0,6.37,1.06,0,318.61,0,0,1.06,0,0
 96-106,0,42.62,0,0,1.09,0,4.37,0,5.46,4.37,1.09,0,2.19,6.56,0,3.28,3.28,0,7.65,0,0,339.88,0,0,0,0,1.09
108-118,0.77,30.64,0,0.77,2.3,0.77,7.66,0,0.77,1.53,0,0,0.77,4.6,0,3.83,4.6,0,6.13,1.53,0,284.17,1.53,0.77,0,0.77,0
120,0,27.44,1.96,0,0,0,7.84,0,0,1.96,0,0,0,1.96,0,0,1.96,0,7.84,0,0,203.82,0,0,0,0,0
