stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,29,13,2,0,0,0,0,3,0,0,6,0,0,0,1,0,0
 24-34,0,3.28,0.82,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0,0,0,361.18,0.82,0.82,123.13,31.19,0,0,0,0,0.82,0,0,0,0.82,4.1,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,2.42,1.61,0,0,0.81,0.81,0,0.81,0,0.81,0,402.83,0,0.81,168.38,25.78,0,0,0.81,0,0,0.81,0,0,0,2.42,0,0,0.81,0,0
 48-58,0,0.57,0,0,19.51,0,0,4.59,2.3,0,0,0,0,0,0,0.57,0.57,0,465.36,0.57,2.87,103.86,30.99,0,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0.57
 60-70,0,1.96,0,0,13.74,4.91,0,0,1.96,0.98,0,0,0.98,0.98,0,0,0,0,494.69,0.98,12.76,57.91,19.63,0.98,0.98,0,0.98,1.96,0,0,0,0,2.94,0,7.85,0,2.94,0
 72-82,0,4.91,1.96,0,39.27,14.72,0.98,2.94,4.91,0,0,0,0,0,0,0.98,0,0,769.62,0,17.67,88.35,28.47,0,0,0,2.94,0,0,0,0,0,1.96,0,4.91,0,8.83,0
 84-94,0,9.56,0,0,40.36,16.99,0,1.06,4.25,0,0,1.06,1.06,0,0,1.06,0,0,624.48,0,18.05,62.66,14.87,0,0,1.06,0,0,0,0,0,0,0,0,6.37,0,6.37,0
 96-106,0,8.74,1.09,1.09,48.09,12.02,2.19,2.19,8.74,1.09,0,0,0,2.19,3.28,0,1.09,0,575.93,0,24.04,40.44,28.41,1.09,0,1.09,4.37,2.19,0,1.09,0,0,0,0,5.46,3.28,14.21,0
108-118,0,3.06,0,0,8.43,18.38,0,0.77,3.83,1.53,0,0.77,0,0,0,0.77,0.77,1.53,573.71,0,22.98,49.02,29.87,0.77,0,0.77,0.77,0.77,0,0,0,0,0,0,9.19,0,9.96,0
120,0,3.92,0,0,11.76,17.64,0,0,1.96,1.96,0,0,0,0,0,0,1.96,0,409.6,1.96,11.76,31.36,17.64,0,0,0,1.96,1.96,0,0,1.96,0,1.96,1.96,5.88,0,1.96,0
