stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,6.29,0,0,129.03,0,0,0,0,0,25.18,0,0,0,0,0,0
 14-21,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,0,0,0,1,0,0,36,0,4,540,11,0,0,1,0,0
 24-34,0,0.82,0,0,0,0.82,1.64,1.64,0,0,0,0,0,2.46,0,8.21,0,0,18.06,7.39,0,0,0,0,0,0.82,0.82,0,4.93,65.67,1.64,0,0,9.03,0,0
 36-46,0,2.42,0,0,0.81,10.47,1.61,0,0,0,0,0,0,0,0,34.64,0,13.7,7.25,7.25,0,0.81,0,0,0,0,0,0,12.09,0.81,4.83,0,0,3.22,0,0
 48-58,0,0.57,0,0,4.02,11.48,0.57,1.72,0,0,0,0,0,0,0.57,51.64,0,41.89,9.18,14.35,0,0,0,0.57,0,0,0,0,20.66,0,4.59,0,1.15,1.72,0.57,0
 60-70,0,4.91,0,0,9.82,14.72,1.96,0,0,0,0,0,0.98,0,0,113.86,0,80.48,11.78,15.7,0,1.96,0,0,0,1.96,0,0.98,9.82,0,6.87,0,16.69,0.98,21.59,0
 72-82,0,2.94,0,0,27.49,8.83,2.94,0.98,0.98,0,0,0,0,0,0,192.41,0,85.4,22.58,26.5,0,0,0.98,0,1.96,0,0,0,12.76,0,6.87,0.98,52.03,0.98,65.77,0.98
 84-94,0,9.56,1.06,0,30.8,13.81,0,3.19,0,1.06,2.12,0,0,0,1.06,145.5,1.06,104.08,20.18,16.99,0,2.12,0,0,1.06,3.19,0,0,21.24,0,3.19,1.06,57.35,2.12,74.34,0
 96-106,0,9.84,1.09,1.09,26.23,16.39,4.37,4.37,4.37,0,1.09,0,0,1.09,1.09,131.14,1.09,65.57,24.04,20.76,0,2.19,0,0,2.19,2.19,0,1.09,29.51,0,10.93,0,27.32,2.19,87.43,1.09
108-118,0,8.43,0.77,0.77,10.72,8.43,3.06,1.53,0.77,0,0,0.77,0,0.77,0,135.58,0,55.15,30.64,13.79,1.53,0.77,0,0,4.6,2.3,0,0,32.94,0,5.36,0,13.79,3.06,52.85,0
120,0,5.88,0,0,0,7.84,0,3.92,0,0,0,0,0,0,1.96,105.83,0,68.59,23.52,9.8,0,0,0,0,0,1.96,0,0,5.88,0,1.96,0,5.88,1.96,58.79,0
