stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0.82,0,0,0,4.93,1.64,0.82,0.82,0,1.64,0.82,0,0
 36-46,0,0,0,0,0.81,0,0.81,0.81,0,0,0,0,0,0,0,0.81,0,0.81,0.81,0,0,1.61,0.81,0.81,0
 48-58,0,0,0,0.57,0.57,0.57,0,0,0,0,0,0,0,1.15,0,0,1.15,0,0,0,0,1.15,1.15,0.57,0
 60-70,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0,1.96,0.98,0,0.98,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0.98,1.96,0,0,0,0,0,0,0,0,2.94,0.98,0,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,2.12,0,6.37,0,0,1.06,0,0,1.06,0,0,1.06,0,0,0,0,0,0,0,8.5,0,0,1.06
 96-106,0,0,2.19,1.09,0,1.09,0,0,0,0,1.09,0,0,3.28,0,1.09,0,0,0,0,0,2.19,1.09,0,0
108-118,0,0,2.3,1.53,3.83,0.77,0,0,0,0.77,0,0.77,0,2.3,0,0,0,0,0,1.53,0,2.3,0,0,0
120,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,5.88,0,0,0
