stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,11,0,1,13,0,0,0,0,0,0,0,2,0,0,58,0,0,0,0,0
 24-34,0,0.82,0,2.46,1.64,0,3.28,0,0,0,1.64,0,0,0,0,0,0,4.1,0,0,26.27,0,5.75,105.07,0.82,0.82,0,0,0,0,0.82,0,0,0,130.52,0,0,9.85,0,0
 36-46,0,0.81,0,0,2.42,0,2.42,0,0,0,6.45,0,0,2.42,0,0,0,5.64,0,0,28.2,0,16.11,141.8,0,0.81,0,0,0,0,0,0,0.81,0,181.28,0,0,3.22,0,0
 48-58,0,1.15,0,1.72,0.57,0,10.9,0,0,0.57,12.62,0,0,0.57,0,0,0.57,2.3,0,0,51.64,0,30.99,175.58,0,0.57,0.57,0,0,2.87,0,0,0,0.57,166.4,0,0,1.72,0,0.57
 60-70,0,1.96,0,2.94,0,0,41.22,2.94,0,0.98,11.78,3.93,0,0.98,0,0,0,1.96,0,0,65.76,0,23.56,276.79,0,0,0,0,0,0.98,0,0,0,0,121.71,0,0,0.98,0,0
 72-82,0,17.67,0,17.67,0.98,0,69.7,6.87,0,1.96,21.6,5.89,0,4.91,0,0,0,0,1.96,0,112.89,0.98,32.39,295.48,0,1.96,0.98,0,0,0,0.98,0,0,0,96.2,0,0,0,0,0.98
 84-94,0,14.87,0,20.18,0,0,53.1,9.56,1.06,1.06,12.74,5.31,0,1.06,1.06,0,0,3.19,0,1.06,59.47,1.06,19.12,203.91,1.06,3.19,0,0,1.06,0,0,0,0,0,40.36,3.19,0,1.06,0,0
 96-106,0,8.74,0,15.3,0,0,30.6,18.58,3.28,1.09,17.49,3.28,0,0,2.19,0,0,1.09,0,0,40.44,0,20.76,137.7,0,3.28,2.19,0,0,3.28,2.19,0,0,0,27.32,1.09,0,0,3.28,0
108-118,0,9.96,0,9.19,0,0,21.45,6.89,1.53,0.77,14.55,3.06,0,4.6,0,0.77,0,0.77,0.77,0,49.79,0,18.38,160.09,0,3.83,0.77,0,0,0.77,0,0,0.77,0,24.51,0.77,0.77,2.3,0,0
120,0,5.88,0,19.6,0,1.96,41.16,7.84,3.92,0,11.76,3.92,0,0,0,0,0,0,0,0,43.12,0,11.76,211.66,1.96,3.92,1.96,0,1.96,0,0,0,0,0,31.36,1.96,0,3.92,0,0
