stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,17,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
 24-34,0,0,87.01,0,0.82,0.82,0,0.82,0,0,0,0,0,0,0.82,0,0.82,0.82,17.24,0,0,0,0,0,6.57,0,0,0.82,0
 36-46,0,0,63.65,0,1.61,5.64,0,0.81,0,0,0,0,0,0,0,3.22,3.22,0,5.64,0,0.81,0,0.81,0,4.83,0,0,0,0
 48-58,0,0,76.89,0,3.44,8.61,0,1.72,1.72,0.57,0,0,0,0,0,2.87,0.57,0.57,21.23,0.57,0,0,0,0,4.59,0,0,1.15,0
 60-70,0,0,94.23,0,5.89,23.56,0,2.94,6.87,0,0,0,0,0,0,1.96,0.98,0,19.63,0,0.98,0,0,0,2.94,0,0,0,0
 72-82,0,0.98,83.44,0,10.8,23.56,0,1.96,19.63,0,0,0.98,0,0.98,0,2.94,0.98,0,16.69,0,0,0,0,0,5.89,0.98,0.98,1.96,0
 84-94,0,0,161.43,0,3.19,32.92,0,5.31,44.61,0,0,2.12,0,1.06,0,2.12,1.06,1.06,8.5,0,0,0,2.12,0,2.12,1.06,0,1.06,0
 96-106,0,0,157.37,0,4.37,27.32,0,3.28,31.69,0,1.09,2.19,0,0,0,6.56,0,1.09,10.93,0,3.28,0,0,0,0,0,0,1.09,0
108-118,0,0,127.15,0,3.83,46.72,0.77,3.06,42.89,0,0,2.3,0.77,1.53,0,1.53,0,0,8.43,0,1.53,0,0.77,0,0,2.3,0,0.77,0
120,0,0,139.14,0,1.96,29.4,0,0,43.12,0,1.96,1.96,0,1.96,0,0,3.92,0,9.8,0,0,0,0,0,0,0,0,0,1.96
