stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,751.14,10397.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0
  5-6,1127.85,15881.88,36.78,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,539.41,55.17,0,0,220.67,0,134.85,0,0,0,0,0,0,0,0
  7-9,118.29,254.99,885.88,0,0,257.61,0,0,0,0,34.17,0,0,0,0,0,0,0,7770.48,281.27,0,0,5260.06,0,7.89,5.26,0,0,0,0,0,0,0
 10-12,0,44.06,324.14,0,0,37.76,0,0,0,0,3.15,0,0,0,0,0,0,0,1680.48,34.62,0,0,2193.44,0,6.29,3.15,0,22.03,0,0,0,0,0
 14-21,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,42,2,1,0,23,0,0,0,45,3,6,23,0,0,0
 24-34,0,0,0,0.82,0,4.1,0,0,2.46,0,0,0,0,0,0,0.82,0,0.82,82.91,0,0,6.57,0,0,0,0,0,39.4,0,2.46,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,8.06,0.81,0,1.61,0,0,0,1.61,0,0,90.23,0,0,11.28,0,0,0,0,0,33.84,0,4.03,0,0,0.81
 48-58,0,0,0,0.57,0.57,5.74,0,0.57,7.46,0,0,0,0,0,0,0.57,0,0,87.22,0,0,16.07,0,0,0,0,0,29.26,0,2.87,0,0,0
 60-70,0,0,0,0,0,8.83,0,0,14.72,1.96,0,0,0,0,0,0.98,0,0,74.6,0,0,20.61,0,0,0,0,0,28.46,0,2.94,0,0,0
 72-82,0,0,0,0,0,13.74,0,0,9.82,2.94,0,0.98,0,0,0,4.91,0,0,98.17,0,0,48.1,0,0,0,0,0,22.58,0,0,0,0.98,0
 84-94,0,0,0,0,0,38.23,0,0,11.68,9.56,0,2.12,3.19,0,1.06,1.06,1.06,0,58.41,0,0,54.16,0,1.06,0,0,0,35.05,0,1.06,0,0,0
 96-106,0,0,0,2.19,1.09,53.55,3.28,1.09,7.65,4.37,0,1.09,0,0,0,2.19,0,0,52.46,0,1.09,55.74,0,0,0,0,0,20.76,0,0,1.09,1.09,0
108-118,0,0,0,3.06,0,68.17,0.77,0,4.6,8.43,0,0.77,0.77,0,0.77,0.77,0,0.77,78.89,0.77,0,54.38,0,0,1.53,0,0,8.43,0,0,0,0,0.77
120,1.96,0,0,3.92,0,31.36,0,0,0,7.84,0,5.88,0,1.96,0,0,0,0,60.75,0,1.96,35.28,0,0,0,0,0,13.72,0,0,0,0,0
