stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,12.59,0,0,3.15,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,0,0,0,0,0,4,0,1,13,4,0,5,0,0
 24-34,0,0,0,0,0.82,0.82,3.28,0,0,0,0,0,0,0,0,0,0,9.85,0,22.98,59.1,0,0,0,0,0,0,0,0,3.28,12.31,0,3.28,0,0
 36-46,0,0,0,0,0,0,2.42,0,0,2.42,0,0,1.61,0,0,0,0,24.98,0,11.28,148.24,0,0,0,0,0,0,0,0,0,22.56,0,2.42,0,0
 48-58,0,0,0,0,0.57,0,6.31,0,5.16,5.74,0,0,2.3,0,0,0,0.57,34.43,0,9.18,141.73,0,0,0,0,0,0,0,0,0,33.28,0,0,0,0
 60-70,0,0,0,0,0,0,22.58,0.98,10.8,7.85,0,0,4.91,0,0,0.98,0,59.87,0,1.96,231.64,0,0,0,0,0,0,0.98,0,0,20.61,0,0.98,0,0
 72-82,0,0,0.98,0,0.98,0.98,70.68,0,14.72,14.72,0,0,2.94,0,0,0,0,99.15,0.98,11.78,225.78,0,0,0,0.98,0,0,0,0,0,14.72,1.96,0,0,0
 84-94,0,0,0,0,3.19,0,41.42,2.12,9.56,7.43,0,0,1.06,0,0,0,1.06,59.47,2.12,5.31,116.82,1.06,2.12,0,1.06,1.06,0,0,0,0,9.56,0,0,0,0
 96-106,0,0,0,0,2.19,1.09,41.53,0,3.28,9.84,0,0,0,1.09,1.09,1.09,0,71.04,0,3.28,122.4,0,0,0,1.09,0,0,1.09,0,0,5.46,1.09,0,0,0
108-118,0,0,0,0,3.83,0.77,37.53,0,6.13,10.72,0,0,0,0,0.77,0,0,62.04,1.53,0.77,125.62,0,0.77,0,0,0,0,0.77,0,0,3.06,0,0,0,0.77
120,0,0,0,0,1.96,0,19.6,0,3.92,9.8,1.96,0,0,0,0,0,0,60.75,0,3.92,192.06,0,0,0,0,0,0,0,0,0,7.84,1.96,0,1.96,0
