stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,1,1,0,0,0,0,4,0,74,0,0,0,0,4,0,2,0,0,0,0,15,0,0,0,0,0
 24-34,0,0,17.24,4.93,0,0.82,0,0,0,0,20.52,0,130.52,0,0,0,0.82,18.06,0.82,18.88,0,0.82,0,0.82,56.64,0,0.82,2.46,0,0
 36-46,0,0,2.42,0.81,0,1.61,0,0,0,0,18.53,0,54.79,0,0,1.61,1.61,5.64,0,17.72,0,0.81,0,0.81,37.06,0,0,2.42,0,0
 48-58,0,0,1.15,4.59,0,2.87,0,1.15,0,0,12.62,0,33.85,0,0,3.44,1.72,2.87,0,25.82,0.57,0.57,0,0.57,15.49,0,0,6.89,0,0
 60-70,0,0,0,7.85,0,4.91,0,2.94,0.98,0.98,20.61,0,29.45,0,0.98,0,0,1.96,0,23.56,0,0,0.98,0.98,21.59,0,0,1.96,0,0
 72-82,0,0,0,4.91,0,4.91,0.98,1.96,0.98,0.98,35.34,0,54.97,0,0,0,0.98,2.94,0.98,41.23,0.98,1.96,0.98,0,19.63,0,0,0.98,0,0
 84-94,0,3.19,0,9.56,1.06,5.31,0,3.19,0,0,62.66,0,94.52,0,0,1.06,4.25,9.56,0,19.12,1.06,0,1.06,0,86.03,0,0,0,0,0
 96-106,0,3.28,0,15.3,0,8.74,0,0,1.09,1.09,72.13,0,76.5,1.09,1.09,1.09,2.19,8.74,1.09,16.39,4.37,0,0,0,56.83,0,0,1.09,2.19,1.09
108-118,0,0,0,14.55,0.77,2.3,0,0.77,0,2.3,64.34,0.77,78.89,0,0.77,0.77,2.3,6.13,0,19.92,1.53,0,0,1.53,55.92,0.77,0,2.3,0,0
120,0,0,1.96,21.56,0,5.88,0,0,0,1.96,68.59,0,62.71,0,1.96,0,3.92,3.92,0,41.16,0,0,0,0,33.32,0,0,0,0,0
