stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,36.78,508.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,12.26,0,0,12.26,0,18.39,0,0,0,0,0,0,0,0
  7-9,7.89,15.77,0,7.89,0,0,39.43,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,226.07,10.51,0,0,105.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,6.29,18.88,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,387.08,28.32,0,0,144.76,0,3.15,3.15,22.03,0,0,0,0,0,0
 14-21,0,0,1,1,4,1,1,0,0,1,0,0,1,0,0,0,0,2,0,0,2,34,1,0,0,0,0,1,5,0,1,10,0,0,0,0
 24-34,0,0,0,0,2.46,0,4.1,0,0,0,0,0.82,0.82,0,0,0,0,4.1,0,0,2.46,50.07,0,0.82,1.64,0,0,1.64,0,0,0,22.98,0,0.82,0,0.82
 36-46,0,0,0,0,0,0.81,10.47,0,0,0.81,0,0,0,0,0,0.81,0,2.42,0,0,2.42,58.81,0,0.81,1.61,0,0,1.61,0,0,0,12.89,0,1.61,0,0
 48-58,0,0,0,0,0,0,11.48,0,0,3.44,0,0,0.57,0.57,0,0,0.57,8.61,0,0,0.57,49.92,0,0,0,0,0,0.57,0,0,0,6.31,0,0.57,0,0
 60-70,0,0,0,0,0.98,0.98,14.72,0.98,0.98,0.98,0,0,0.98,0,0,0.98,0,2.94,0,0,0.98,65.76,0,0.98,0,0,0.98,0.98,0,0,0,8.83,0,0.98,0,0.98
 72-82,0,0,0,0,0.98,0,19.63,0,0,5.89,0.98,0,0.98,0,0,0,0,9.82,0,0,0.98,50.06,0,0,0,0,0.98,0,0,0,0,4.91,0,1.96,0,0
 84-94,0,0,0,0,0,1.06,10.62,1.06,0,3.19,1.06,0,0,1.06,0,0,0,5.31,1.06,1.06,3.19,13.81,0,0,1.06,0,0,1.06,0,0,0,1.06,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,3.28,0,0,2.19,0,0,0,0,0,0,0,8.74,0,0,0,9.84,0,0,0,0,0,2.19,0,0,0,0,1.09,0,1.09,0
108-118,0,0,0,0,0.77,1.53,7.66,0.77,0,0.77,0.77,0,0,0,0,0.77,0,4.6,0,0,0,16.85,0.77,0.77,0,0,0,3.06,0,0,0,0,0,0,0,0
120,0,0,0,0,3.92,3.92,1.96,0,0,0,0,0,0,1.96,3.92,0,0,1.96,0,0,1.96,13.72,0,0,0,0,0,7.84,0,0,0,0,0,1.96,0,0
