stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0.82,0,0,2.46,4.93,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82,5.75,16.42,1.64,9.85,0,0,0,3.28,0,0,0.82,0,0,1.64,0
 36-46,0,0,0.81,0,0,25.78,9.67,0,0,0.81,0,0,0.81,0,0,0.81,0,0,0,0.81,0,1.61,12.09,1.61,15.31,0.81,0,2.42,0.81,0,0,0.81,0,0,0.81,1.61
 48-58,0,0,0,0,0,98.69,13.2,0.57,0,2.87,0,0,0.57,0,0.57,0,0,0,0.57,2.3,0,2.3,29.26,1.15,14.35,0,0,1.72,0.57,4.02,0,1.72,0,0,0.57,0.57
 60-70,0,0,0.98,0,0,287.59,23.56,0,0,4.91,0,0,0,0.98,0,0.98,0,0,0,0.98,0.98,6.87,53,0.98,17.67,0.98,0.98,0.98,0,4.91,0,3.93,0,0,0,0
 72-82,0,0,0.98,0.98,0,337.69,16.69,0,0.98,22.58,0,0,0,2.94,0,0,1.96,0.98,0,9.82,0,4.91,100.13,0,44.17,0.98,0,0.98,0,1.96,0,2.94,0,1.96,1.96,1.96
 84-94,0,1.06,3.19,2.12,1.06,292.06,32.92,0,0,13.81,0,1.06,0,3.19,1.06,0,3.19,1.06,0,10.62,1.06,5.31,55.23,1.06,26.55,1.06,0,3.19,2.12,9.56,0,0,0,0,3.19,2.12
 96-106,0,0,2.19,1.09,0,264.47,27.32,0,2.19,15.3,0,0,1.09,3.28,0,1.09,6.56,2.19,0,12.02,0,2.19,77.59,0,49.18,1.09,0,5.46,0,4.37,0,4.37,1.09,1.09,2.19,4.37
108-118,0,0.77,1.53,2.3,0,216.77,35.23,0.77,0,17.62,1.53,0,1.53,2.3,0,1.53,4.6,0.77,0,9.19,0,7.66,71.23,0.77,31.4,2.3,0,4.6,0.77,15.32,0,0,0,0.77,0,6.89
120,0,0,3.92,0,0,207.74,25.48,3.92,0,17.64,1.96,0,0,3.92,1.96,0,3.92,0,0,7.84,0,3.92,97.99,1.96,13.72,0,0,3.92,1.96,1.96,0,7.84,0,0,0,5.88
