stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,0,5,0,0,0,0,0,0,0,0,0,1,0,1,7,1,0,0,0,0,1,1,0,3,10,2,0,0,0,0
 24-34,0,0.82,3.28,0,6.57,0.82,0,0,1.64,0,0,0,0,0.82,3.28,0,7.39,6.57,0,0,0,0,0,0,0,0,2.46,2.46,0.82,0,0,0,0
 36-46,0,0,1.61,0,2.42,2.42,0,1.61,0,0,0,0,0.81,0,7.25,0,3.22,5.64,0,0,0,0,0,0,0,4.03,4.03,0,0,0,0,0,0
 48-58,0,0,0.57,0,4.59,1.15,0.57,1.72,0.57,0,0,0,1.15,0,14.35,0,3.44,6.89,0.57,0,2.3,0,0,0,0,6.89,3.44,0,1.72,0,0,0,1.15
 60-70,0,0,1.96,0,2.94,1.96,5.89,0.98,2.94,0,0,0,0,0,24.54,4.91,0.98,6.87,0.98,0,2.94,0,0,0.98,0,5.89,10.8,0,1.96,0,0,0,0
 72-82,0,0.98,1.96,3.93,7.85,1.96,1.96,0.98,7.85,0,0,0,0,0,43.19,5.89,5.89,5.89,0,0,2.94,0,0,0.98,0,2.94,5.89,0,1.96,0,1.96,3.93,0.98
 84-94,0,0,3.19,0,9.56,3.19,10.62,0,1.06,0,1.06,1.06,0,0,28.68,3.19,1.06,4.25,0,1.06,5.31,0,0,1.06,0,5.31,12.74,0,0,1.06,2.12,7.43,0
 96-106,0,0,8.74,0,12.02,6.56,9.84,0,6.56,0,2.19,1.09,0,0,41.53,13.11,6.56,12.02,0,1.09,12.02,0,2.19,0,0,4.37,10.93,0,1.09,0,7.65,15.3,0
108-118,0,0,12.26,0,6.13,7.66,27.57,0,8.43,1.53,0.77,0.77,0,0,39.83,5.36,3.83,9.19,0.77,0,9.19,0,0,2.3,0,5.36,13.02,0,0,0,13.02,4.6,0
120,0,0,13.72,0,1.96,9.8,1.96,0,5.88,0,3.92,0,0,0,45.08,3.92,7.84,9.8,0,0,11.76,0,0,0,0,0,3.92,0,0,0,1.96,9.8,0
