stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,18.4,0,0,0,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,76.23,5.26,0,0,34.17,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,34.62,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,88.12,3.15,0,0,18.88,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,2,3,32,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,8,1,2,0,0,0,0,0,30,0,0,0,0
 24-34,0,0,0,0.82,5.75,0,0,0,0,0.82,0,0.82,0,0,0,0.82,0,0,2.46,0,3.28,73.06,0,0.82,0.82,0,0.82,0,0,98.5,0,2.46,0,0
 36-46,0,0,0,0,1.61,0.81,0,28.2,0.81,0.81,0.81,1.61,0,0,0,0,0,0,2.42,0,2.42,85.4,0,0,0,0,0.81,0,0,88.62,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,28.12,0.57,0.57,0.57,4.02,0,0.57,0,0,0,0.57,3.44,1.15,0,71.15,0,0,0.57,0,0,0,0,50.49,0,0,0,0.57
 60-70,0,0,0,0,1.96,0,0,18.65,0,0,0,0.98,0,0,0,0,0.98,0,2.94,0,0.98,40.24,0,0,0,0,1.96,0,0,17.67,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,9.82,0,0,0,1.96,0,0,0,0,0.98,0,11.78,0.98,0,33.38,0,0,0.98,0,1.96,0,0,20.61,0.98,2.94,0.98,0.98
 84-94,0,0,0,0,1.06,0,1.06,9.56,0,1.06,0,4.25,2.12,0,0,3.19,0,0,5.31,0,0,19.12,1.06,0,1.06,0,1.06,0,0,13.81,18.05,0,0,0
 96-106,0,0,0,0,0,0,0,7.65,0,0,0,3.28,2.19,0,0,0,0,0,0,0,1.09,10.93,0,0,1.09,0,2.19,0,0,10.93,55.74,1.09,1.09,0
108-118,0,0,0,0,3.06,0,0.77,3.06,0,0,0.77,1.53,0.77,0,0.77,0.77,0,0,3.06,0,0,10.72,0,0.77,0.77,0,0,0,0,6.13,86.55,0.77,0,0
120,0,0,0,0,9.8,0,0,9.8,0,0,0,1.96,0,0,1.96,0,0,0,3.92,0,0,31.36,1.96,0,1.96,0,0,0,0,9.8,23.52,0,1.96,0
