stage,endoderm,eye,glial,lateral_line,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,1.64,5.75,0,0,1.64,0.82,0.82
 36-46,0,0,0,0,1.61,0,6.45,0,0,0,4.03,0
 48-58,0,2.87,0,0,0,0,11.48,0,0,0.57,0,0
 60-70,0,3.93,0.98,0,1.96,0,6.87,0,0,1.96,0.98,0
 72-82,0,1.96,0,0,0.98,0,7.85,0.98,0,0.98,0.98,0
 84-94,0,4.25,1.06,0,1.06,0,3.19,1.06,1.06,2.12,0,0
 96-106,0,1.09,0,1.09,0,0,2.19,1.09,0,0,0,0
108-118,0,0,0,0,0.77,0,2.3,0.77,0,0.77,0,0
120,0,1.96,0,0,1.96,0,3.92,0,0,0,0,0
