stage,axial,blastomeres,epidermis,eye,glial,heart,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,7,0
 24-34,0,0,0,0.82,0.82,0,0,10.67,0,0,0,6.57,0
 36-46,0,0,0,0,0,0.81,0,27.39,0,0,0,10.47,0.81
 48-58,0,0,0,1.72,1.15,0,0,36.72,0,0,0,8.03,0
 60-70,0,0,0,2.94,0,0,0,82.45,0,0,0,10.8,0
 72-82,0,0,0.98,2.94,2.94,0,0.98,104.06,1.96,0,0,5.89,0
 84-94,0,0,1.06,2.12,1.06,0,1.06,33.99,0,0,0,2.12,0
 96-106,0,0,0,3.28,1.09,1.09,0,36.06,0,0,0,0,0
108-118,0,0,0,2.3,0,0,0,39.83,0,0,0,1.53,0
120,0,0,0,1.96,5.88,0,0,76.43,0,0,0,0,0
