stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,liver,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,2.46,0,0,3.28,0,0,0,0.82,0,0,0,0,1.64,0,0,13.13,0,0,4.93,0,0.82,0.82,3.28,0,0,0.82
 36-46,0,0,0.81,0,0,0,1.61,0.81,0,0,0,0,0,0.81,1.61,0,0,6.45,0.81,0,3.22,1.61,0,0,1.61,0.81,0,0.81
 48-58,0,0,0,0,0,1.15,0,0,0,0.57,0.57,0.57,0,0,1.15,0.57,0,2.87,0,0,1.15,0,0,0,1.72,0.57,0,0
 60-70,0,0,1.96,0.98,0,3.93,0,0,0.98,2.94,0,0,0,0,4.91,0,0.98,9.82,0,0,1.96,0,0,0,1.96,0,0,0
 72-82,0,0,2.94,0.98,0,5.89,0,0,0,3.93,0,0,0.98,0,6.87,0,0.98,9.82,0,0.98,0.98,0,0,0,2.94,0,0.98,0
 84-94,0,0,1.06,0,0,1.06,0,0,0,0,0,0,0,0,2.12,0,0,3.19,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,2.19,0,0,0,2.19,0,0,1.09,0,1.09,0,0,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0,1.53,0,0,0.77,0,0,0,0,0,0,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0
