stage,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,mucous,neural,paraxial_mesoderm,periderm,spinal_cord,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,116.46,0,0
  7-9,0,0,0,0,0,0,0,5.26,7.89,7.89,0,0
 10-12,0,3.15,0,0,0,0,0,22.03,0,0,0,0
 14-21,0,0,0,0,0,1,0,3,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,4.1,0,1.64,0,0
 36-46,0,0,0,0.81,0,0.81,0,1.61,0,0.81,0,0
 48-58,0,0,0,0,0,0.57,0.57,1.72,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0.98,0,0.98,0,0.98
 72-82,0,0,0,1.96,0.98,1.96,0,0.98,0,1.96,0.98,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,1.09,1.09,2.19,0,6.56,0,0
108-118,0,0,0,0,0,1.53,0,1.53,0,5.36,0,0
120,0,0,0,0,0,0,0,1.96,0,27.44,0,0
