stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,3,0,22,0,0,0,0,0,5,0,0,31,0,2,1,3,0,5,15,3,61,0,0,0,0
 24-34,0,0,0,0,0,3.28,1.64,18.88,0,0.82,0,0,0,7.39,0,4.1,38.58,1.64,7.39,1.64,0,0,0,13.95,3.28,58.28,0,0.82,0,0
 36-46,0,0,0,0,0,8.86,0.81,14.5,0,0,0,0,0,2.42,0,0.81,24.98,0,10.47,2.42,0,0,0,5.64,0,27.39,0,0.81,0,0
 48-58,0,0,0,2.3,0,14.35,1.15,24.67,0,0,0,2.3,0,4.59,1.15,1.72,12.62,0,5.16,5.16,0,0,0,2.3,0,33.85,0,0,0,0
 60-70,0,0,0,0.98,0,22.58,0.98,23.56,0.98,0,0,1.96,0,5.89,0,2.94,10.8,0,10.8,4.91,0,0,0,0.98,0,16.69,0,0.98,0,0
 72-82,0,0.98,0,0,0,14.72,1.96,36.32,1.96,0,0,3.93,0,7.85,0,0.98,6.87,0,16.69,8.83,0,0,0,3.93,0,9.82,0,0,0,0
 84-94,0,0,1.06,0,0,25.49,2.12,12.74,0,0,0,2.12,0,6.37,0,0,8.5,0,22.3,11.68,0,0,0,7.43,0,10.62,0,0,1.06,0
 96-106,0,2.19,0,1.09,0,7.65,0,17.49,1.09,0,0,10.93,0,8.74,0,4.37,1.09,0,30.6,14.21,0,0,0,2.19,0,10.93,0,1.09,1.09,0
108-118,0,0.77,0,2.3,0,7.66,0.77,15.32,0,0,0.77,4.6,0.77,7.66,0.77,3.06,9.19,0,26.81,8.43,0,0.77,0,1.53,0,4.6,0,0.77,0,0
120,0,0,0,0,0,7.84,0,7.84,1.96,0,0,5.88,0,7.84,0,1.96,7.84,0,11.76,7.84,0,0,0,3.92,0,3.92,3.92,0,0,1.96
