stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,3,0,0,0,0,0,2,2,0,0,3,0,0,0,0,0
 24-34,0,0,0.82,0.82,0.82,0,0.82,0,0,0,0,4.1,0,0.82,0,0,0,0,22.16,0,1.64,0,0,2.46,13.95,0,0,0,0,0,10.67,0,0,0,4.93,0,0,0,0,0
 36-46,0,0,3.22,0,0,0,4.83,0.81,0,0,0.81,8.06,0,0,0,0,0,0,29.81,0,2.42,0,0,2.42,16.11,0,1.61,0,0,0,3.22,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,2.87,0,0,0,1.15,4.59,0,0,0,0,0,0,41.31,0,5.16,0,0,1.72,11.48,0,0,0,0,0,1.72,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,9.82,0,0,0,5.89,0,0,0,0,0,0,0.98,70.67,0,5.89,0,0.98,0.98,10.8,0,0.98,0,0,0,1.96,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,31.41,0,0,0.98,13.74,0.98,0,0,0,0.98,0,0,179.64,0,38.28,0,0.98,2.94,46.14,0,0,0.98,0,0,5.89,0,0,0,1.96,0.98,0,2.94,0,0.98
 84-94,0,0,0,4.25,1.06,0,32.92,1.06,1.06,0,8.5,3.19,1.06,0,2.12,1.06,0,1.06,526.77,0,31.86,0,0,3.19,53.1,0,1.06,1.06,0,0,8.5,0,0,0,3.19,0,0,1.06,0,0
 96-106,0,2.19,0,22.95,34.97,3.28,89.61,2.19,5.46,3.28,30.6,4.37,0,2.19,13.11,5.46,1.09,1.09,808.71,0,56.83,1.09,2.19,4.37,251.35,5.46,4.37,4.37,0,2.19,39.34,0,0,1.09,4.37,3.28,2.19,8.74,2.19,4.37
108-118,0,1.53,0,26.81,10.72,6.89,132.51,0.77,3.06,1.53,26.81,8.43,0,0.77,7.66,3.06,3.83,0.77,1543.42,1.53,62.04,2.3,1.53,6.13,246.64,3.06,2.3,5.36,0,2.3,27.57,0,3.06,2.3,5.36,2.3,0.77,4.6,0.77,3.06
120,1.96,0,0,25.48,11.76,0,54.87,1.96,0,0,17.64,5.88,0,0,5.88,1.96,1.96,0,838.79,0,39.2,0,1.96,1.96,141.1,1.96,3.92,3.92,0,0,15.68,0,1.96,0,0,0,1.96,5.88,1.96,1.96
